ab ,〜から
aber ,しかし
abfahren,出発する
die Abfahrt ,出発
abgeben,渡す
abholen ,手に入れる、迎えに行く
der Absender ,送信者
Achtung ,注意
"die Adresse,-en ",住所
all- ,すべて
allein ,一人
also ,〜なので
alt ,古い、歳
das Alter,年齢
an,〜にて、〜で
anbieten ,提供する
"das Angebot, -e ",提供
ander- ,他の、別の
anfangen ,始める
der Anfang,始まり、開始
anklicken,クリックする
ankommen ,到着する
die Ankunft,到着
ankreuzen,チェックする
anmachen ,つける
(sich) anmelden,登録する
die Anmeldung ,登録
die Anrede,挨拶（手紙の冒頭に書く挨拶的なもの）
anrufen ,電話する
"der Anruf, -e der Anrufbeantworter ",電話
"die Ansage, -n ",アナウンス
der Anschluss ,接続
an sein ,つける
antworten,答える
"die Antwort, -en ",答え
"die Anzeige, -n ",広告
(sich) anziehen,着替える
"der Apfel, -Ä ",りんご
der Appetit,食欲
arbeiten,働く
"die Arbeit, -en",仕事
arbeitslos ,失業
"der Arbeitsplatz, -ä, e ",職場
"der Arm, -e ",腕
"der Arzt, -Ä, e ",医者
auch ,〜も
auf,〜上に、〜に対して、〜によって
"die Aufgabe, -n ",タスク
aufhören ,止まる、終わる
auf sein ,開いた状態
aufstehen ,起きる
"der Aufzug, -ü, e",エレベーター
"das Auge, -n ",目
aus ,〜から
der Ausflug ,（短い）旅行
ausfüllen ,記入する
der Ausgang,出口
"die Auskunft, -ü, e ",情報
das Ausland,海外
"der Ausländer, - ",外国人
ausländisch,外国の
ausmachen ,消す
"die Aussage, -n ",意見、発言
aussehen,見た目
aus sein ,消す、離れる、休む
aussteigen,下車する
der Ausweis ,ID
(sich) ausziehen,脱ぐ
"das Auto, -s ",車
"die Autobahn, -en ",高速道路
der Automat ,自動装置
automatisch ,自動
"das Baby, -s ",赤ちゃん
die Bäckerei,パン屋
das Bad,お風呂
baden,お風呂に入る
die Bahn,電車
der Bahnhof,駅
der Bahnsteig,プラットフォーム
bald ,直ちに、すぐに
der Balkon,バルコニー
"die Banane, -n",バナナ
die Bank,銀行、ベンチ
bar ,現金
der Bauch,お腹
"der Baum, -ä, e ",木
"der Beamte, -n ",公務員、役員
bedeuten,意味する
beginnen ,始まる
bei ,〜で、〜に、〜と、〜と共に
beide ,両方、どちらも
das Bein,足
"das Beispiel, -e zum Beispiel/z. B",例え、事例
bekannt,有名な、よく知られている
"der/die Bekannte, -n ",知り合い、知人
bekommen ,受ける、受け取る、得る
benutzen,使う、使用する
"der Beruf, -e ",職業
besetzt,満席、使用中
besichtigen ,観る、観覧する
besser ,より良い、もっと
best,最上、ベスト
bestellen,注文する、申し込む、頼む
besuchen,訪問する
"das Bett, -en ",ベッド
bezahlen,支払う
das Bier ,ビール
"das Bild, -er",写真
billig,安い
"die Birne, -n ",梨
bis ,〜まで
bisschen,少々
bitte ,どうぞ、ください、お願いします
"die Bitte, -n bitten ",依頼、申請、お願い
bitter,苦い
bleiben ,滞在する、とどまる
"der Bleistift, -e ",鉛筆
der Blick ,眺め
"die Blume, -n ",花
der Bogen,弓、円弧、曲線
böse,怒る
brauchen ,必要とする
breit,幅
"der Brief, -e ",手紙
"die Briefmarke, -n ",切手
bringen ,持ってくる、連れて行く
"das Brot, -e ",パン
"das Brötchen, – ",丸パン
"der Bruder, -ü ",兄弟
"das Buch, -ü, er ",本
"der Buchstabe, -n ",文字
buchstabieren ,綴る
"der Bus, -se ",バス
die Butter ,バター
"das Café, -s ",カフェ
"die CD, -s",CD
der Chef,上司
circa/ca. ,約、およそ
"der Computer, – ",コンピューター
da,そこ、あそこ、なぜなら
"die Dame, -n ",女性
daneben,隣に、このほか、おまけに
danken ,感謝する
der Dank ,おかげで、感謝
dann ,そしたら、その後
das Datum ,日、日付
dauern ,続く、引き続く
dein- ,あなたの-
denn,なぜなら、だから
"der, die, das ",これ
dich ,あなた
dies- ,これ、この
dir ,あなた
die Disco ,ディスコ
der Doktor ,医者、博士
das Doppelzimmer ,ダブルルーム、二人部屋
"das Dorf, -ö, er ",村
"dort, -her, -hin ",あそこ、そこ
draußen ,外、野外
drucken,印刷する
"der Drucker, – ",プリンター
drücken,押す
durch ,〜によって、通って
"die Durchsage, -n ",アナウンス
dürfen ,構わない、できる、差し支えない
der Durst ,渇き、のどの渇き
(sich) duschen ,シャワーを浴びる
die Dusche,シャワー
"die Ecke, -n ",角、端、隅
"die Ehefrau, -en/ ",妻
"der Ehemann, ä, er ",夫
"das Ei, -er",卵
eilig ,急ぎ、取り急ぎ
ein- ,ひとつ
einfach,簡単、片道、便利
der Eingang ,入り口
einkaufen ,買い物
einladen ,招待する
einmal ,一度、一回
einsteigen,乗る
der Eintritt,入場、入場料
das Einzelzimmer,シングルルーム、一人部屋
die Eltern ,両親
"die E-Mail, -s ",Eメール
"der Empfänger, – ",受取人
empfehlen ,勧める
enden ,終わる
das Ende ,終わり
entschuldigen ,謝る、詫びる
die Entschuldigung ,謝罪
er ,彼
"das Ergebnis, -se ",結果
erklären ,説明する
erlauben ,許す、許可する
"der Erwachsene, -n ",大人
erzählen ,教える、語る、言う
es ,それ、そこ、いる
essen ,食べる
das Essen ,食事
euer ,あなたたちの
fahren ,行く、運転する
der Fahrer,運転手
"die Fahrkarte, -n",切符、乗車券
"das Fahrrad, -ä, er ",自転車
falsch ,誤った、間違い
"die Familie, -n ",家族
der Familienname,苗字
der Familienstand ,家柄
"die Farbe, -n ",色
"das Fax, -e ",ファックス
Feier- ,祝い、式
feiern ,祝う
fehlen ,失う、欠ける、休む
"der Fehler, – ",間違い、エラー
fernsehen ,テレビ
fertig ,準備、用意
das Feuer,火事、火、ライター
das Fieber,熱、発熱
"der Film, -e ",映画
finden,見つける
die Firma,会社、企業
"der Fisch, -e ",魚
"die Flasche, -n ",瓶、ボトル
das Fleisch ,肉
fliegen ,飛ぶ、フライト
abfliegen ,飛び立つ
der Abflug,出発、離陸
der Flughafen ,空港
das Flugzeug ,飛行機
"das Formular, -e ",用紙、フォーム
"das Foto, -s ",写真
fragen ,尋ねる、聞く
"die Frage, -n ",質問
"die Frau, -en ",女性、妻、夫人
frei ,自由、空の
die Freizeit ,余暇、暇な時
fremd ,奇妙な、変な、外国の
(sich) freuen,喜ぶ、嬉しい、楽しみにする
"der Freund, -e, die Freundin, -nen ",友達、恋人
früher ,かつて、以前
frühstücken,朝食をとる
das Frühstück ,朝食
die Führung ,ガイダンス、管理
für ,のため、に対して
"der Fuß, -ü, e ",足
der Fußball ,サッカー
der Garten,庭、ガーデン
"der Gast, -ä, e ",客
geben ,あげる、与える
geboren ,生まれる
das Geburtsjahr,生まれ年
der Geburtsort ,出生地
der Geburtstag,誕生日
gefallen ,気にいる、好き
gegen,対、対して、反対
gehen,行く、歩く、動く
gehören ,属する、所属する
das Geld ,お金
das Gemüse ,野菜
das Gepäck,荷物、手荷物
gerade,まっすぐ、先ほど、ちょうど
geradeaus,まっすぐに
gern(e),快く、喜んで
"das Geschäft, -e ",店
"das Geschenk, -e ",プレゼント
die Geschwister (pl.) ,兄弟姉妹
"das Gespräch, -e ",会話、面接
gestern,昨日
gestorben,死ぬ、亡くなった
"das Getränk, -e ",飲料
das Gewicht ,重量、重さ
gewinnen ,勝つ、当たる
"das Glas, -ä, er ",グラス、コップ
glauben ,信じる、思う
gleich,同じ、すぐに
"das Gleis, -e ",線路、線、レール
das Glück ,幸運、運
glücklich ,嬉しい、ラッキー
der Glückwunsch ,お祝い、祝賀
Grad (Celsius) ,度
gratulieren ,祝う
grillen ,焼く、バーベキューをする
groß,大きい
die Größe,大きさ、サイズ
die Großeltern (pl.) ,祖父母
die Großmutter ,祖母
der Großvater ,祖父
"die Gruppe, -n ",グループ
"der Gruß, -ü, e ",挨拶、お礼
gültig ,有効な、妥当
günstig ,安い
gut ,良い、いい
"das Haar, -e ",髪
haben ,持っている
"das Hähnchen, - ",鶏肉
die Halbpension ,一泊二食付き
die Halle ,ホール
hallo ,こんにちわ
halten ,停まる
die Haltestelle ,停留所
"die Hand, -ä, e ",手
"das Handy, -s ",携帯電話
"das Haus, -ä, er ",家
"die Hausaufgabe,-n ",宿題、課題
"die Hausfrau, -en/ der Hausmann",主婦、主夫
die Heimat,故郷、ふるさと
heiraten ,結婚
heißen,呼ばれる、称する
helfen ,助ける、手伝う
hell ,明るい、薄い
der Herd ,ストーブ、暖炉、コンロ
