abschließen,終える、鍵をかける、閉じる,
"die Ahnung, -en ",予感、期待、心当たり,
aktiv,アクティブ、活動的,
aktuell ,現在,
als,〜より、〜として,
"die Ampel, -n ",信号機,
hat angeboten ,提供している,
ändern,変える、変わる,
anders,その他、他の、変わった,
"die Angst, ¨-e ",恐れ,
"der Anrufbeantworter, -",留守番電話,
"ansehen, sieht an, hat angesehen",見る、観る,
"der Anzug, ¨-e ",スーツ、服,
"die Apotheke, -n ",薬局,
"der Apparat, -e ",装置、機械,
ärgern (sich),怒らせる、イライラさせる,
arm,貧乏,
"der Artikel, -",冠詞、記事、商品,
auf jeden Fall,確かに、必ず、とにかく,
aufmachen,開ける,
aufpassen,気をつける、心する、見守る、見張る,
aufräumen,片付ける,
aufregend,エキサイティング、劇的,
"die Ausbildung,-en ",訓練、職業訓練、トレーニング,
ausfüllen,書き込む、埋める、記入する,
ausgeben,使う、かかる、消費する,
ausgehen,出かける、切れる、尽きる,
auspacken,荷ほどきをする,
ausruhen (sich),休む、ゆっくりする,
außer ,以外、除いて、他に,
außerdem ,さらに、その他,
außerhalb,圏外、外側,
aussprechen,言う、発音する,
"die Ausstellung,-en ",展示会、博覧会、展示,
austragen,届ける、配る,
"der Babysitter,- ",ベビーシッター,
backen,焼く,
"der Ball, ¨-e ",ボール,
"die Band, -s ",バンド,
basteln,工作をする、作る,
bauen,建てる、建設する,
"der Baum, ¨-e ",木,
"die Baustelle, -n ",建築現場、工事現場,
beantworten,答える,
bedanken (sich),感謝する,
beeilen (sich),急ぐ,
beenden,終える、終了する,
begründen,証拠立てる,
beliebt,人気のある,
bequem ,居心地の良い、心地よい、快適,
beraten,助言する、アドバイスする、勧める,
"der Berg, -e ",山,
berichten,報ずる、報告する、レポートする,
berühmt ,名高い、有名な,
der Bescheid  (bekommen/ geben/sagen) ,答え、一報、挨拶,
beschreiben,説明する、書き表す,
beschweren (sich),文句を言う,
besonders ,特に、特別に,　　
bestätigen,確かめる、裏付ける,
bestehen,受かる、存在する、成り立つ,
"der Besuch, -e ",訪問,
bewerben (sich),申し込む、適用する,
"die Bewerbung, -en",出願、応募、申請,
bewölkt,曇り,
"die Wolke, -n ",雲,
"die Bibliothek, -en ",図書館,
"die Bitte, -n ",依頼、お願い,
bitten,頼む、お願いする,
"das Blatt, ¨-er ",葉、１枚,
blöd,馬鹿げた、阿呆らしい,
"der/das Blog, -s ",ブログ,
blond ,金髪,
"die Bluse, -n ",ブラウス,
"die Bohne, -n ",豆,
"braten, brät, hat gebraten",焼く、炒める、揚げる,
"die Briefmarke, -n ",切手、スタンプ,
"die Brille, -n ",メガネ,
"die Brücke, -n ",橋,
