der/die Verwandte,親戚(男/女)
der Mensch,人間
die Person,人
die Leute,人々
der Nachdar,隣人(男)
die Nachdarin,隣人(女)
der Europäer,ヨーロッパ人(男)
die Europäerin,ヨーロッパ人(女)
der/die Erwachsene,大人
geboren,(～に)生まれた
heiraten,(～と)結婚する
verheiratet,結婚している
tot,死んだ
der/die Angestellte,サラリーマン(男 / 女)
der/die Beamte,公務員
die Beamtin,公務員(女)
der Fahrer,ドライバー(男)
die Fahrerin,ドライバー(女)
der Pilot,パイロット(男)
die Pilotin,パイロット(女)
der Friseur,美容師(男)
die Friseurin,美容師(女)
der Bäcker,パン職人(男)
die Bäckerin,パン職人(女)
der Ingenieur,エンジニア(男)
die Ingenieurin,エンジニア(女)
der Krankenpfleger,看護師(男)
die Krankenpflegerin,看護師(女)
der Politiker,政治家(男)
die Politikerin,政治家(女)
der Polizist,警察(男)
die Polizistin,警察(女)
der Schauspieler,俳優
die Schauspielerin,女優
der Professor,教授(男)
die Professorin,教授(女)
der Maler,画家(男)
die Malerin,画家(女)
der Sänger,歌手(男)
die Sängerin,歌手(女)
der Musiker,音楽家(男)
die Musikerin,音楽家(女)
der Pianist,ピアニスト(男)
die Pianistin,ピアニスト(女)
der Bauer,農家(男)
die Bäuerin,農家(女)
der/die Bekannte,知人
die Einladung,招待
der Besuch,訪問、来客
küssen,kiss
vorstellen,(～に～を)紹介する
kennenlernen,(～と)知り合う
die Helfe,help
der Satz,文
der Text,テキスト
das Beispiel,例
bedeuten,mean
reden,話す、講演する
erzählen,(～を)語る
die Aussprache,発音
aussprechen,(～を)発音する
entschuldigen,(～を)許す
empfehlen,(～に～を)推薦する
rufen,(～を)呼ぶ、叫ぶ
der Gruß,挨拶
grüßen,挨拶する
die Bitte,頼み、願い
bitten,(～にum～を)頼む
der Wunsch,願い、望み
die Lust,欲求
der Traum, 夢
hoffen,(～を)望む、(～を)期待する
hoffen,希望へ
hoffentlich,hopefully
das Gefühl,感情
die Angst,不安、心配
die Sorge,懸念
das Interesse,関心
interessieren,interest
freuen,looking forward
hassen,(～を)憎む、嫌う
fühlen,feel
lächeln,smile
lustig,funny
traurig,sad
zufrieden,(mit～に)満足している
die Meinung,意見
meinen,(～と)思う
erinnern,(am～を)思い出す
versuchen,(～を)試みる
der Reis,米
die Pommes,フライドポテト
das Schnitzel,カツレツ
die Gurke,きゅうり
die Marmelade,ジャム
die Sahne,クリーム
der/die Bonbon,キャンディー
die Traube,ぶどう
die Erdbeere,イチゴ
die Kirsche,さくらんぼ
das Getränk,飲み物
der Alkohol,アルコール
der Topf,ポット
die Dose,缶
backen,bake
braten,grill
schneiden,cut
das Öl,oil
der koch,料理人(男)
die Köchin,料理人(女)
schmecken,taste
sauer,sour
bitter,bitter
rauchen,smoke
die Kleidung,clothing
ziehen,put on
der Anzug,スーツ
die Krawatte,ネクタイ
die Socken,靴下
die Mütze,帽子
die Mode,流行
modern,現代的
schick,しゃれた
bunt,カラフル
der Punkt,ポイント
der Ring,指輪
die Kette,ネックレス
das Gold,金
das Silber,銀
der Rucksack,リュックサック
die Handtasche,ハンドバッグ
der Koffer,スーツケース
der Regenschirm,傘
der Schlüssel,鍵
der Ausweis,IDカード
die Sache,持ち物
besitzen,所有している
der Kunde,客(男)
die Kundin,客(女)
der Verkäufer,店員(男)
die Verkäuferin,店員(女)
verkaufen,sell
probieren,try
wählen,choose
passen,fit
der Preis,価格
preiswert,安価な
die Kasse,レジ
die Münze,コイン
die Kreditkarte,クレジットカード
der Automat,自動販売機
die Rechnung,請求書
die Unterschrift,署名
das Menü,定食
die Speisekarte,メニュー
der Ober,ウェイター
der Kellner,ウェイター
die Kellnerin,ウエイトレス
getrennt,別々の
die Apotheke,薬局
der Kiosk,売店
der Laden,店舗
die Buchhandlung,書店
geschlossen,閉まっている
offen,開いている
das Gebäude,建物
der Ausgang,出口
der Eingang,入口
der Turm,タワー
die Burg,城
der Arbeitsplatz,職場
der Chef,チーフ(男)
die Chefin,チーフ(女)
der Kollege,同僚(男)
die Kollegin,同僚(女)
der Meister,名人(男)
die Meisterin,名人(女)
der Job,アルバイト
jobben,アルバイトをする
die Pause,休憩
die Gruppe,グループ
die Stelle,ポジション
sehen,see
duschen,シャワーを浴びる
gehen,go
stehen,stand
träumen,夢をみる
die Wohngemeinschaft,共同住居
das Tor,ゲート
der Boden,床、地面
das Dach,屋根
der Raum,部屋
der Keller,地下室
die Treppe,階段
die Garage,ガレージ
mieten,rent
die Miete,賃貸料
die Möbel,家具
das Bücherregal,本棚
der Schreibtisch,デスク
der Sessel,アームチェア
die Lampe,電灯、ランプ
der Spiegel,鏡
der Teppich,カーペット
der Fernseher,テレビ
der Kühlschrank,冷蔵庫
die Waschmaschine,洗濯機
die Heizung,暖房
das Licht,光、明かり
der Knopf,ボタン
putzen,綺麗にする
die Wäsche,洗濯、洗濯物
die Schere,はさみ
das Ding,もの
