 (be) addressed to ～ [動],（～に）宛先を記す(to …)
 ability[名],能力
 abortion[名],妊娠中絶
 absolutely[副],絶対に、完全に、全く
 academic[形],学問の、学業の、大学の
 accomplish[動],成し遂げる、成就する
 accord[動],（許可などを）与える
 account[名],説明
 accurate[形],正確な
 acid[形],酸性の
 acknowledge[動],認める、認識する
 actress[名],女優
 adequate[形],十分な、適切な
 adopt[動],採用する、導入する
 advantageous[形],有利な、好都合な
 advertise[動],宣伝する、広告する
 advise[動],忠告する、助言する
 affair[名],出来事、情勢、諸問題、事件
 affect[動],影響する、影響を及ぼす
 agent[名],代理人、（政府の）職員
 aim[動],目指す、目標とする、(銃などで）狙う
 aisle[名],（劇場、列車などの）通路
 alien[名],宇宙人、外国人
 alone[副],独りで
 aloud[副],声を出して
 amateur[形],素人の、アマチュアの
 ambition[名],熱望、野心
 amount[名],量、総計、総額
 ancient[形],古代の、大昔の
 anniversary[名],記念日
 announce[動],公表する、発表する、告知する
 annually[副],毎年、年１回、１年間で
 antique[形],古い、骨董の
 anymore[副],これ以上（～ない）
 anyway[副],とにかく、どっちみち
 apartment[名],アパート、（アパートの）一室、一世帯分の区画
 appeal[動],要請する、懇願する
 appearance[名],出現、姿を現すこと
 apply[動],応募する、申し込む
 appreciate[動],感謝する、～をありがたく思う
 appropriate[形],適切な、ふさわしい
 arm[動],武装する、武装させる
 arrange[動],手はずを整える、取り決める、手配する、配置する
 arrangement[名],準備、手配
 arrest[名],逮捕
 arrival[名],到着、到来
 arrow[名],矢、矢印
 ash[名],灰
 ashore[副],浜に（へ）、岸に（へ）
 asleep[形],眠って
 assure[動],保証する、請け合う
 athlete[名],スポーツ選手、アスリート
 attack[動],攻撃する
 attain[動],得る、獲得する、達成する
 attempt[動],試みる、企てる
 attempt[名],試み、努力、企画
 attitude[名],態度、考え方
 attract[動],引き付ける、魅了する
 auditorium[名],講堂、大講義室、公会堂
 authority[名],権威、権力、権力者
 automatic[形],自動の
 available[形],利用可能な、入手可能な、手があいている
 award[名],賞
 back[名],荷台、後部、裏側
 back[名],背中、腰
 backward[副],後方に、後ろ向きに
 bamboo[名],竹
 bankrupt[形],破産した
 barrel[名],樽、ドラム缶
 bear[動],生む（産む）、（花や果実を）実らせる、（心などに）抱く、持つ
 beauty[名],美、美しさ
 beetle[名],カブトムシ
 beneath[前],～の下で、～の下に
 bilingual[形],2言語を使う
 billion[名],10億
 billion[数],10億、10億の
 birth[名],誕生
 bite[動],かじる
 board[名],理事会、委員会
 board[名],板、掲示板
 boom[名],（経済の）急成長、人気、（爆発などの）とどろき、ブーム
 bore[動],うんざりさせる、退屈させる
 boring[形],退屈な、つまらない
 boss[名],上司
 bottle[名],びん
 brave[形],勇敢な、勇ましい
 breath[名],呼吸、息
 breathe[動],呼吸する
 broadcast[動],放送する
 brush[名],ブラシ、刷毛
 budget[名],予算
 bulb[名],電球、球根
 bus stop[名],バス停
 cabin[名],小屋、（飛行機・船などの）客室
 calculate[動],計算する、算出する
 California[名],カリフォルニア
 cancer[名],癌
 capture[動],占領する、攻略する
 career[名],（専門的な）職業、職歴、キャリア
 careless[形],不注意な、軽率な
cease[動],中止する、終わる
 celebrate[動],祝う、褒めたたえる
 cell[名],細胞、小部屋、セル（電池の構成単位の1つ）
 certain[形],ある特定の、ある種の
 challenge[動],挑戦する、異議を唱える
 chapter[名],章
 chart[名],図、グラフ
 chest[名],胸
 chin[名],下顎
 chosen[動],chooseの過去分詞
 circle[名],サークル、仲間、団体、〜界
 circuit[名],巡回、迂回、回路
 cite[動],引用する、引き合いに出す、挙げる
 clash[名],衝突、（意見などの）対立
 classify[動],分類する
 climate[名],気候
