(be) free from/of ～,～がない、?を免れた/免除された
 absence[名],欠席、不在
 accelerate[動],加速させる、促進する
 accessible[形],利用できる/しやすい、近づきやすい
 accident[名],事故、偶然の出来事
 accidental[形],偶然の、予期しない、思いがけない
 accompany[動],付き添う、同行する、添付する
 accurately[副],正確に
 acquire[動],習得する、獲得する、手に入れる
 acre[名],エーカー
 act[動],振る舞う、行動する、演じる
 actor[名],俳優
 admiration[名],賞賛、感嘆
 advance[動],前進する、進歩する、進める
 advantage[名],長所、利点、強み
 aid[動],援助する、助ける
 aircraft[名],航空機
 alarming[形],人を驚かせる、憂慮すべき
 alcohol[名],アルコール、酒
 alike[形],似ている
 allow[動],許可する、許す、可能にする
 alter[動],変える、変更する
 altogether[副],完全に、全部で
 amaze[動],びっくりさせる、驚かす
 ambassador[名],大使
 ambitious[形],野心のある、野心的な
 analysis[名],分析、分析結果
 antique[名],骨董品
 anxiety[名],不安、心配事、懸念
 anyhow[副],とにかく、いずれにせよ
 applicant[名],応募者、志願者
 appreciate[動],正しく評価（理解）する、～の価値を認める
 approach[動],接近する、近づく
 approve[動],承認する、了承する
 aquarium[名],水槽、水族館
 architecture[名],建築、建築学、構造
 area[名],地域、場所、エリア
 argue[動],口論する、議論する
 arise[動],生じる、起こる
 arrest[動],逮捕する
 artificial[形],人工の、人工的な
 aside[副],脇に、傍らに
 assess[動],評価する、査定する
 assign[動],割り当てる、配属する
 assistance[名],補助、援助、助力
 assistant[名],助手、補佐
 associate[動],関連づける、結び付けて考える、連想する
 association[名],連合、協会
 atmosphere[名],大気、大気圏
 atom[名],原子
 atomic[形],原子の
 attach[動],貼り付ける、添付する、取り付ける、添える
 attack[名],攻撃、発作
 attend[動],出席する、参加する
 attendance[名],出席、参加
 attendant[名],添乗員、随行員、接客係
 attorney[名],弁護士、法定代理人
 attractive[形],魅力的な
attribute ～ to …,～の原因を…に帰する
 automatically[副],自動的に、反射的に
 avenue[名],大通り、本通り
 average[名],平均
 awful[形],恐ろしい、すさまじい、ひどい
 baggage[名],手荷物
 bakery[名],パン屋
 ballet[名],バレエ
 band[名],バンド、楽団、集団
 bandage[名],包帯
 bang[名],突然の大きな音、強烈な一撃
 bare[形],むきだしの、露出した
