(be) inclined to-不定詞,～する傾向がある、～したい気がする,,,,,,,,
 abbey[名],大修道院、僧団、大寺院,,,,,,,,
 abrupt[形],突然の、唐突な,,,,,,,,
 acclaim[動],賞賛する,,,,,,,,
 accountant[名],会計士、会計係,,,,,,,,
 accumulation[名],蓄積,,,,,,,,
 accustomed[形],慣れている（to ～）,,,,,,,,
 achievable[形],（目的、目標などを）成し遂げられる,,,,,,,,
 acute[形],（痛みなどが）急性の、激しい,,,,,,,,
 addict[名],(薬物の)中毒者、常用者,,,,,,,,
 administer[動],管理する、運営する,,,,,,,,
 adolescent[名],若者、青年,,,,,,,,
 advocate[名],提唱者、支持者、弁護人,,,,,,,,
 aesthetic[形],美的な、美学の,,,,,,,,
 aggression[名],侵害,,,,,,,,
 agreeable[形],快適な、心地よい、感じの良い,,,,,,,,
 alarmingly[副],驚くほどに,,,,,,,,
 alienate[動],遠ざける、無視する、疎外する,,,,,,,,
 alliance[名],同盟、提携,,,,,,,,
 alongside[副],そばに、横に,,,,,,,,
 ambulance[名],救急車,,,,,,,,
 ample[形],豊富な、十分すぎるほどの,,,,,,,,
 ancestry[名],家系、先祖,,,,,,,,
 anchor[動],いかりを下ろす、固定する,,,,,,,,
 anchor[名],いかり,,,,,,,,
 appalling[形],ひどい、ぞっとする、恐ろしい,,,,,,,,
 appendix[名],（本などの）補遺、別表,,,,,,,,
 armed[形],肘つきの、武装した,,,,,,,,
 array[名],配列、隊列,,,,,,,,
 ashore[副],陸上に（で）、岸へ（に）,,,,,,,,
 aspirin[名],鎮痛剤,,,,,,,,
 assault[名],攻撃、襲撃,,,,,,,,
 attribute[動],起因すると考える、おかげであるとする,,,,,,,,
 avert[動],防ぐ、避ける、（目などを）そむける,,,,,,,,
 awhile[名],しばらくの間,,,,,,,,
 backing[名],援助、支援、裏張り（材）,,,,,,,,
 bait[名],（釣り針に付ける）餌,,,,,,,,
 banquet[名],夕食会、晩さん会、宴会,,,,,,,,
 batter[動],繰り返し殴る,,,,,,,,
 bestow[動],与える、授ける,,,,,,,,
 bidding[名],入札、せり,,,,,,,,
 biological[形],生物学（上）の,,,,,,,,
 blade[名],刃、回転翼,,,,,,,,
 blast[動],爆破する、大きく鳴らす、強打する、攻撃する,,,,,,,,
 bleach[動],漂白する、脱色する,,,,,,,,
 blend[名],混合(物),,,,,,,,
 blessing[名],ありがたいもの、（天の）恵み,,,,,,,,
 blink[名],まばたき、一瞬時,,,,,,,,
 blueprint[名],設計図、青写真,,,,,,,,
 boast[動],自慢する、誇る,,,,,,,,
 break[動],（暗号などを）解く,,,,,,,,
 breathtaking[形],息を飲むような、驚くほどの,,,,,,,,
 brilliance[名],輝き、光沢,,,,,,,,
 brink[名],縁、際、間際,,,,,,,,
 broadcaster[名],キャスター、アナウンサー,,,,,,,,
 brutal[形],残忍な、野蛮な,,,,,,,,
 buffet[名],（セルフサービスの）軽食、（駅、列車などの）軽食堂,,,,,,,,
 bug[名],虫,,,,,,,,
 bull[名],雄ウシ,,,,,,,,
 bump[動],ぶつかる、ぶつける,,,,,,,,
 camouflage[動],に（～で）偽装（迷彩）を施す,,,,,,,,
 cannon[名],大砲、機関砲,,,,,,,,
 cargo[名],積み荷、貨物,,,,,,,,
 carve[動],彫る、刻む,,,,,,,,
 catastrophe[名],破滅的状況、大惨事、大災害,,,,,,,,
 categorize[動],分類する,,,,,,,,
 caterpillar[名],イモムシ　,,,,,,,,
 centralize[動],中央集権化する、集中させる,,,,,,,,
 cereal[名],穀物、穀物食品（コーンフレークやオートミールなど）,,,,,,,,
 certificate[名],免許状、証明書,,,,,,,,
 chant[名],詠唱歌、唱和,,,,,,,,
 charcoal[名],木炭、炭,,,,,,,,
 charisma[名],カリスマ（性）、教祖的魅力、大衆を引き付ける個性,,,,,,,,
 charm[名],魅力,,,,,,,,
 chatter[動],おしゃべりする,,,,,,,,
 chick[名],ひな、ひよこ、小娘,,,,,,,,
 choke[動],窒息させる、むせさせる、詰まらせる,,,,,,,,
 chronic[形],慢性の、慢性的な,,,,,,,,
 citizenship[名],市民（公民）権,,,,,,,,
 clarify[動],明らかにする,,,,,,,,
 clay[名],粘土,,,,,,,,
 clinch[動],打ち曲げる、しっかり固定させる、（問題・議論などに）決着をつける,,,,,,,,
 clumsy[形],下手な、不器用な、ぎこちない,,,,,,,,
 cluster[名],集団、束,,,,,,,,
 coarse[形],きめの粗い、ざらざらした、粗野な,,,,,,,,
 coded[形],暗号化された,,,,,,,,
 coherent[形],首尾一貫した、理路整然とした,,,,,,,,
 collision[名],衝突、対立,,,,,,,,
 colonization[名],植民地化,,,,,,,,
 commentary[名],注釈、解説、実況放送,,,,,,,,
 compact[動],固める、圧縮する,,,,,,,,
 compatible[形],互換性がある、両立可能な,,,,,,,,
 competent[形],能力のある、適格な、満足な,,,,,,,,
 compliment[名],賛辞、お世辞、褒め言葉,,,,,,,,
 compound[名],複合物、化合物,,,,,,,,
 comprehensively[副],包括的に、徹底的に,,,,,,,,
 compress[動],を圧縮する、詰め込む,,,,,,,,
 comrade[名],（同じ経験を共有した）仲間,,,,,,,,
 conception[名],概念、考え,,,,,,,,
 concise[形],簡潔な,,,,,,,,
confess[動],告白する,知ってる,2020/5/29,2,,,,,
 conquer[動],征服する,知ってる,2020/5/31,,,,,,
 conscience[名],良心、分別,知ってる,2020/5/31,,,,,,
 conservation[名],保護、保存,知ってる,2020/6/1,2,,,,,
 consolation[名],慰め、感謝、慰めとなるもの,知ってる,2020/6/25,,,,,,
 constituent[名],構成要素、成分、有権者,知ってる,2020/5/31,,,,,,
 constitution[名],憲法,知ってる,2020/6/1,1,,,,,
 constraint[名],束縛、制約,知ってる,2020/5/28,,,,,,
 constructively[副],前向きに、建設的に,知ってる,2021/1/18,,,,,,
 contempt[名],軽蔑,知ってる,2020/5/27,,,,,,
 contend[動],主張する、争う,知ってる,2020/6/1,3,,,,,
 contradict[動],矛盾する、否定する、反論する,知ってる,2020/6/1,1,,,,,
 copper[名],銅,知ってる,2020/5/24,,,,,,
 corps[名],軍団、部隊、団体,知ってる,2020/6/26,4,,,,,
 correlation[名],相互（相関）関係、相関性,知ってる,2020/6/25,,,,,,
 corrupt[動],堕落させる,知ってる,2020/6/25,,,,,,
 cosmetic[形],化粧の、美容の,知ってる,2020/6/25,,,,,,
 countless[形],無数の、数え切れない,知ってる,2020/5/31,,,,,,
 coup[名],政変、大当たり、大成功,知ってる,2020/6/26,1,,,,,
 courageous[形],勇気のある、勇敢な,知ってる,2020/5/24,,,,,,
 crane[名],鶴,知ってる,2020/6/25,,,,,,
 credit[名],（大学の）単位,知ってる,2020/5/24,,,,,,
 curse[名],呪い、ののしり,知ってる,2020/5/29,3,,,,,
 dazzle[動],の目をくらませる,知ってる,2020/6/25,,,,,,
 debris[名],がれき、破片、残骸、がらくた,知ってる,2020/5/28,,,,,,
 decay[名],腐敗、虫歯,知ってる,2020/5/31,,,,,,
 defect[名],欠陥、欠点,知ってる,2020/5/28,,,,,,
 defendant[名],被告,知ってる,2020/5/26,1,,,,,
 defiance[名],挑戦、反逆、反抗,知ってる,2020/5/26,1,,,,,
 degrade[動],価値を下げる、地位を落とす、解体させる,知ってる,2020/5/21,,,,,,
 delta[名],三角州、デルタ（※ギリシア文字の４番目）,知ってる,2021/1/18,,,,,,
 denial[名],否定、否認、却下,知ってる,2020/6/25,,,,,,
 dependency[名],依存、従属、属国、属領,知ってる,2020/6/25,1,,,,,
 descendant[名],子孫、末裔,知ってる,2020/5/26,1,,,,,
 deteriorate[動],悪化する、悪化させる,知ってる,2020/6/26,3,,,,,
 determination[名],決意、決断、決断力,知ってる,2020/5/25,,,,,,
 diagnosis[名],診断、分析,知ってる,2020/5/29,1,,,,,
 dice[名],さいころ,知ってる,2020/6/25,,,,,,
 dictate[動],指図する、書き取らせる,知ってる,2020/6/26,1,,,,,
 dictation[名],口授、書き取り,知ってる,2021/1/18,,,,,,
 dilemma[名],板ばさみ、ジレンマ、窮地,知ってる,2020/5/29,,,,,,
 dimension[名],寸法、容積,知ってる,2020/6/25,,,,,,
 dip[動],浸す、急降下する,知ってる,2020/5/28,,,,,,
 directory[名],名簿,知ってる,2020/7/1,,,,,,
 disarmament[名],軍備縮小,知ってる,2020/5/26,1,,,,,
 disguise[名],変装,知ってる,2020/5/28,,,,,,
 disgust[名],嫌悪、反感,知ってる,2020/6/25,,,,,,
 dispatch[動],派遣する,知ってる,2020/6/1,3,,,,,
 disperse[動],分散させる、追い散らす,知ってる,2020/5/29,,,,,,
 dissatisfied[形],不満な,知ってる,2020/6/25,,,,,,
 dissolve[動],溶ける、溶かす,知ってる,2020/5/28,,,,,,
 distress[名],苦悩、心痛、貧困,知ってる,2020/6/25,1,,,,,
 diversity[名],多様性,知ってる,2020/5/28,,,,,,
 document[動],文書で証明する、詳細に記録する、資料としてまとめる,知ってる,2020/6/25,,,,,,
 documentation[名],文書（資料）による裏付け,知ってる,2020/6/25,,,,,,
 dose[名],（薬の）服用量,知ってる,2020/6/25,,,,,,
 drought[名],干ばつ、渇水,知ってる,2020/5/25,,,,,,
 drug-related[形],薬剤（薬物、麻薬）関連の,知ってる,2020/6/25,,,,,,
