a host of ～,多数の～
 abnormal[形],異常な、並外れた
 abstract[形],抽象的な
 accommodate[動],（ホテル/施設が）～を収容する、収容能力がある
 accommodation[名],（複数形で）宿泊施設、収容設備
 accumulate[動],蓄積する、積み上げる
 advancement[名],前進、進歩、昇進
 affiliate[動],提携する、提携させる
 aging[名],老化、高齢化
 aging[形],年老いた、老齢化の進んだ
 ally[名],同盟国、同調者、支持者
 alternate[動],交互に行う、交互に入れ替える
 alternate[形],代替の、交互の
 ankle[名],足首、くるぶし
 anticipate[動],予期する、予想する
 apathy[名],無感動、無関心
 appliance[名],（家庭用の）器具、電化製品
 archaeology[名],考古学
 arouse[動],喚起する、かき立てる
 arrogance[名],傲慢さ
 assert[動],主張する、断言する
 assertion[名],断言、主張
 astronomical[形],天文学的な、天文学の
 authorities[名],当局
 authorize[動],公認する、権限を与える
 autonomy[名],自治、自治権、自主性
 bachelor[名],学士（号）、独身男性
 badge[名],バッジ、記章、名札
 bankruptcy[名],破産、倒産
 banner[名],横断幕、のぼり、垂れ幕
 baron[名],男爵、大物実業家
 barren[形],（土地が）不毛の、(動物が)不妊の
 basin[名],洗面器
 battlefield[名],戦場
 besiege[動],包囲する、包囲攻撃する
 betray[動],裏切る、だます、（秘密などを）漏らす
 biography[名],伝記、略歴
 bizarre[形],風変りな、異様な
 blaze[名],炎、火炎
 blockade[名],封鎖
 blur[動],ぼやかす、ぼかす
 bolster[動],元気付ける、高める、強化する
 boundary[名],境界
 brass[名],真ちゅう、黄銅
 breakdown[名],崩壊、故障、内訳、分析
 breeze[名],そよ風、微風
 bribe[名],賄賂
 brochure[名],小冊子、パンフレット
 bud[名],つぼみ、芽
 bully[動],いじめる
 burial[名],埋葬、葬式
 buzz[名],ざわめき、騒音、ブンブンという音
 cab[名],タクシー
 cape[名],ケープ（※袖なしのマント）、岬
 captive[形],捕らわれた、捕獲された
 carbon dioxide[名],二酸化炭素
 carefree[形],心配のない、のんきな
 casualty[名],犠牲者、死者
 cathedral[名],大聖堂
 celebrity[名],有名人、セレブ
 cemetery[名],墓地
 census[名],人口調査、国勢調査
 certify[動],証明する、保証する
 channel[動],向ける、集中する
 charter[名],憲章、定款、設立勅許状
 chunk[名],塊
 circulation[名],循環、流通、発行部数、（図書の）貸し出し（部数）
 clarity[名],明快さ、平明
 clearance[名],取り片付け、除去、撤去
 clutch[名],つかむ、握る
 coastal[形],沿岸の
 coastline[名],海岸線
 cockroach[名],ゴキブリ
 coil[動],を巻く、巻き付ける
 coincide[動],一致する、同時に起こる
 collaborate[動],協力する、共同する
 commission[動],委任する、任命する
 compact[形],小型の
 compassion[名],同情、あわれみ
 compel[動],強いる
 compelling[形],説得力のある、強制的な
 compensate[動],賠償（補償）する
 compensation[名],賠償、補償
 compile[動],編集する、編纂する
 complicate[動],複雑にする
 comply[動],（規則などに）従う
 confrontation[名],対立
 confusion[名],混乱、無秩序
 congress[名],会議、総会、（C～）（米国の）連邦議会
 conjunction[名],接続詞、結合、連結
 consolidate[動],強固にする、統合する
 conspiracy[名],陰謀、共謀
 consultation[名],相談、診察を受けること
 contain[動],抑え込む、制御する
 contaminated[形],汚染された
 convey[動],運ぶ、伝える
 corresponding[形],一致する
 count[動],重要である
 courteous[形],礼儀正しい、丁重な
 crouch[動],かがむ
crude[形],天然の、未精製の、粗雑な
 crumble[動],崩壊する、砕ける
 cult[名],カルト、カルト集団
 cynical[形],冷笑的な、皮肉な
 dairy[名],乳製品、酪農、酪農業
 decent[形],そこそこの、まともな、上品な
 dedicate[動],捧げる、献身する
 deepen[動],深くする、深める
 demanding[形],（仕事などが）きつい、努力を要する
 dementia[名],認知症
 den[名],書斎、私室、（動物の）巣（穴）、ねぐら
 denounce[動],非難する
 deploy[動],配置する、配備する
 deregulation[名],規制撤廃、緩和
 designate[動],指定する、指名する
 desperately[副],やけになって
 destine[動],運命づける
 deter[動],抑制する、抑止する、思いとどまらせる
 developed[形],先進の
 developing country[名],発展途上国
 diabetes[名],糖尿病
 differentiate[動],を（～と）見分ける
 digestion[名],消化
 dilute[動],（液体などを）薄める、弱める
 dim[形],弱い、薄暗い、ぼんやりした
 diminish[動],減らす、小さくする
 disastrous[形],悲惨な、壊滅的な
 discard[動],捨てる、廃棄する
 discharge[動],放出する
 disclose[動],公表する、暴露する
 discomfort[名],不快、辛苦
 discreet[形],思慮分別のある、慎重な
 discriminate[動],差別する、区別する
 discrimination[名],差別
 disguise[動],変装させる、隠す
 disgusting[形],ぞっとするような、むかむかさせる
 disrupt[動],破壊する、混乱させる、妨害する
 dissent[動],異議を唱える、意見が異なる
 distance[動],遠ざける、遠くに置く
 distinct[形],明らかに異なる、独特の
 distinctive[形],独特の、特有の、特徴的な
 distort[動],ゆがめる、ねじる
 distorted[形],ゆがめられた
 distribution[名],配布、配送
 divert[動],（注意などを）そらす
 dominant[形],支配的な、優勢の
 dreadful[形],恐ろしい、ひどく悪い、はなはだしい
drive away ～,～を追い払う
 dub[動],（人にあだ名を）付ける、（人をあだ名で）呼ぶ
 dwelling[名],住居
 dye[動],染める
 dye[名],染料、染色液
 electron[名],電子
 embark[動],乗り出す、着手する
 emergence[名],出現、発生
 emission[名],放出、排出
 endorse[動],（商品を）ほめる、推薦する
 endorse[動],承認する、裏書きする
 enzyme[名],酵素
 epidemic[名],流行病、伝染病
 equality[名],平等、対等、等しいこと
 equation[名],式、方程式
 equip[動],備え付ける、装備させる
 erode[動],浸食する、腐食する、徐々に損なわれる
 evacuate[動],避難させる、立ち退かせる
 exaggerate[動],誇張する、大げさに言う
 exceptional[形],例外的な、異常な、まれな
 exceptionally[副],並外れて、非常に
 exclusively[副],限定で、独占的に
 exert[動],（影響などを）及ぼす
 exhaustive[形],完全な、徹底的な
 expanse[名],広々とした場所、拡張
 expend[動],費やす
 experimentation[名],実験
 exploit[動],利用する、つけ込む、搾取する、開発する
 explosive[形],爆発しやすい、爆発（性）の
 extinguish[動],（火などを）消す
 extract[動],抽出する
 extravagant[形],浪費する、金遣いの荒い
 faction[名],党派、派閥
 faint[動],気絶する、失神する
 faint[形],かすかな
 fertile[形],（土地などが）肥沃な
 fictional[形],作り話の、架空の
 filling[名],充填材、詰め物
 fin[名],ひれ
 fingerprint[名],指紋
 fingertip[名],指先
 fishery[名],漁業、水産業
 flat[名],アパート
 flip[動],を（ぱっと）裏返す、をめくる
 forestry[名],林業、林学
 forthcoming[形],来たるべき、今度の
 fortnight[名],２週間
 fossil[名],化石
 fragment[名],かけら、断片、破片
 freight[名],貨物
 fridge[名],冷蔵庫
 functional[形],機能的な
 furnace[名],炉、溶鉱炉
 fury[名],激怒、憤慨、（天候などの）猛威
 generalization[名],一般論、一般化
 generic[形],一般的な、包括的な、商標登録されていない
 genetic[形],遺伝的な、遺伝子の
 genetically[副],遺伝子的に
 geographic[形],地理的な
 geometric[形],幾何学の、幾何学的な
 glare[名],ギラギラする光、まぶしい輝き
 globalization[名],国際化、グローバル化
 glow[動],ボーッと光る、(真っ赤に)燃える
 grasp[動],握る、把握する、理解する
 gravity[名],重力、引力
 greed[名],強欲、貪欲
 habitual[形],習慣的な、いつもの、普段の
 hail[動],賞賛する、認める
 halve[動],２等分する
 hardy[形],耐寒性の、頑丈な、勇敢な
 harmonize[動],調和（一致）させる
 heartily[副],心から
 heroine[名],（女性の）英雄、主人公
 hierarchy[名],（社会の）階層
 hinder[動],妨げる
 hindrance[名],妨害、邪魔、障害物
 hiss[動],シューっと音を出す
 hitherto[副],今まで、今のところ
 homosexual[形],同性愛の
 hormone[名],ホルモン
 hostile[形],敵意のある、非友好的な
 hover[動],空中に停止する、うろつく
 hug[動],抱きしめる
 humidity[名],湿気
 humiliate[動],自尊心を傷つける、恥をかかせる
 humility[名],謙虚、謙虚さ
 hurl[動],強く投げつける、放り投げる
 hybrid[名],交配種、掛け合わせ、ハイブリッド車
 hypothesis[名],仮説、仮定
 i.e.[副],すなわち
 ideology[名],イデオロジ―、思想傾向
 illuminate[動],照らす、明らかにする
 imagery[名],比喩的表現、像
 imaginative[形],想像力に富んだ
 immunity[名],免疫
 imprison[動],刑務所に入れる
 incredibly[副],非常に、（信じられないぐらい）すごく
 indispensable[形],不可欠な、必須の
 indulge[動],夢中になる、ふける
 industrious[形],勤勉な
 inexperienced[形],経験の浅い
 inflict[動],（害などを）負わせる、与える
 informative[形],有益な、情報を得ることができる
 inherent[形],生来の、生得の
 inhibit[動],抑制する、（行動、発達などを）妨げる
 inject[動],注射する、注入する
 injection[名],注射
 injustice[名],不正、不法
 innovative[形],革新的な、画期的な
 instrumental[形],重要な役割を果たす、役立つ、器楽の
 integration[名],統合、統一
 interchangeable[形],（～と）交換できる、置き換えられる
 intersection[名],交差点
 intervene[動],干渉する、（間に）割って入る、介入する
 intimidate[動],おどす、脅迫する
 intrigue[動],興味をそそる、好奇心をそそる
 intrude[動],侵害（侵入）する
 invaluable[形],非常に価値のある、非常に貴重な
 inverted[形],あべこべの、逆さの、逆転した、反転した
 irrelevant[形],無関係の、見当違いの、重要でない
 jingle[名],ちりんちりん（と鳴る音）
 junk[名],くず、がらくた
 just[形],公正な、正しい
 knit[動],（毛糸などで）編む
 knowledgeable[形],知識が豊富な
 laborer[名],労働者
 landlord[名],大家、地主
 legally[副],合法的に、法的に
 legend[名],伝説、伝説的な人物
 legitimate[形],妥当な、筋の通った、合法的な
 lessen[動],少なくする、減らす、小さくする
 linger[動],居残る、ぐずぐずする、長引く
 literal[形],文字どおりの
 literate[形],読み書きのできる
 liver[名],肝臓
 lump[名],こぶ、かたまり
 lure[動],引き寄せる、誘い込む
 lurk[動],身を潜める、待ち伏せする
 magnify[動],拡大する、（事態を）悪化させる
 majestic[形],威厳のある、堂々とした
 manipulate[動],操る、操作する
 marginal[形],周辺的な、あまり重要でない
 mastery[名],支配、制御、制服、熟達
 mature[形],成熟した
 maturity[名],成熟、円熟
 mediocre[形],並の、平凡な、普通の
 meditation[名],瞑想
 memorable[形],記憶に残るような、印象的な
 merge[動],合併する、合流する
 merger[名],合併、合同、統合
 Middle Ages[名],（the -）中世
 middle-aged[形],中高年の
 might[名],力
 mileage[名],総マイル数、燃費、利点、走行距離
 minimize[動],最小限にする
 miraculous[形],奇跡的な
 missionary[名],伝道師、宣教師
 molecule[名],分子
 momentum[名],勢い、機運、運動量
 monarchy[名],君主制、君主国、君主政治
 morale[名],士気、風紀
 moss[名],苔
 motto[名],標語、指針
 mount[動],増す、高まる
 mounting[形],増加していく、高まる
 muscular[形],筋骨隆々とした、筋肉の、力強い
 nanny[名],乳母、ばあや
 narrative[名],物語り、話
 nationalism[名],国家主義、国粋主義
 negligence[名],怠慢、手抜き、過失
 nest[名],巣
 notably[副],とりわけ、著しく、際立って
 notorious[形],悪名高い
 nourish[動],栄養を与える、養う
 nourishment[名],滋養物、食物
 nucleus[名],核
 nurture[動],育てる、栄養を与える
 nurture[名],養育
 nutrient[名],栄養物、栄養素
 nutritional[形],栄養上の
 obedient[形],従順な
 optimism[名],楽観（楽天）主義
 orderly[形],整然とした、秩序立った
 orphan[名],孤児
 outer[形],外の、外側の
 outfit[名],服装、衣装
 outlook[名],外観、眺望、態度
 outskirt[名],(町・都市の)外れ、郊外、周辺
 overnight[副],一夜にして、突如、一晩（中）、夜通しで
 overtake[動],追い抜く
 overthrow[動],転覆させる、撤廃する
 ownership[名],所有者であること、所有権
 paddle[動],こぐ
 panel[名],委員団、審査員団
 parachute[動],パラシュートで投下する／落とす、パラシュートを用いる
 parental[形],親の
 pebble[名],小石、玉石
 peculiarity[名],特色、特性
 pedestrian[名],歩行者、徒歩旅行者
 perch[名],（鳥かごなどの）止まり木
 perplex[動],困惑/当惑させる
 perseverance[名],忍耐、辛抱、不屈の精神
 Persian[形],ペルシャの
 pessimistic[形],悲観的な、悲観主義の
 pesticide[名],殺虫剤
 phenomena[名],現象、事象（phenomenonの複数形）
 physician[名],内科医
 picturesque[形],（景色などが）絵のように美しい
 plaster[名],石膏、しっくい
 plow[名],鍬
 pluck[動],もぎ取る、引き抜く
 plunge[動],押し込む、突っ込む、(価格などが)急落する
 plunge[動],飛び込む、突っ込む
 polish[動],磨く
 Portuguese[名],ポルトガル語、ポルトガル人
 potentially[副],潜在的には、もしかすると
 pottery[名],陶器類、陶芸
 pound[動],ガンガンたたく
 practitioner[名],開業者、弁護士、開業医
 pragmatic[形],実践的な、実用的な
 precision[名],正確、精密、精度
 predecessor[名],前任者、前機種、前身
 pregnancy[名],妊娠
 pregnant[形],妊娠した、懐妊した
 premium[名],保険料、割増料金
 prescribe[動],（薬など）を処方する、指示する
 presume[動],推測する、～と思う
 prevalence[名],普及
 prevalent[形],普及している、広く行き渡った、蔓延している
 preview[名],（映画などの）予告編、試写会、下見
 priceless[形],とても高価な
 privilege[名],特権、特典
 proceeds[名],収益
 produce[名],農産物
 programming[名],プログラム作成、番組制作
 prohibit[動],禁止する
 proofread[動],校正する
 prop[名],支え、支柱、つっぱり
