abdomen[名],腹部、胴体,,,,,,,,
 aboriginal[形],先住の、原生の,,,,,,,,
 abstraction[名],抽象概念,,,,,,,,
 absurdity[名],不合理、不条理、ばかげた行為,,,,,,,,
 accommodate[動],（不一致などを）調整する、（要求などを）受け入れる,,,,,,,,
 account[動],見なす（受身で）,,,,,,,,
 accredit[動],を認定する、認可する,,,,,,,,
 accredited[形],認可された、公認の,,,,,,,,
 accrue[動],（利益などが）生じる、増加する,,,,,,,,
 adage[名],ことわざ、格言、金言,,,,,,,,
 adhesive[名],接着剤,,,,,,,,
 adhesive[形],粘着性のある,,,,,,,,
 adjacent[形],近くの、（～に）隣接した (to ～),,,,,,,,
 adjunct[名],（～の）付属物、添え物,,,,,,,,
 adjunct[名],（～への）付属物、（～を）補助するもの,,,,,,,,
 admittedly[副],誰もが認めるように、確かに、なるほど,,,,,,,,
 adventurous[形],大胆な、冒険心のある,,,,,,,,
 advert[名],広告,,,,,,,,
 aerate[動],を空気にさらす、通気する,,,,,,,,
 aesthetics[名],美学,,,,,,,,
 affective[形],感情の、情動（性）の,,,,,,,,
 affiliation[名],提携、加入,,,,,,,,
 affirmative[形],賛成の、肯定の、積極的な,,,,,,,,
 agitate[動],扇動する、動揺させる,,,,,,,,
 ailment[名],（慢性的な）病気、不快,,,,,,,,
 akin[形],血族の、同種の、類似した,,,,,,,,
 align[動],を１列（一直線）に並べる,,,,,,,,
 allergic[形],アレルギー性の、アレルギー体質の,,,,,,,,
 alley[名],小道、横道、路地,,,,,,,,
 alliteration[名],頭韻、頭韻法,,,,,,,,
 altitude[名],高度、標高,,,,,,,,
 ambivalence[名],相反する感情、ためらい,,,,,,,,
 analogous[形],類似した,,,,,,,,
 anecdote[名],逸話,,,,,,,,
 anesthetic[名],麻酔剤、麻酔薬,,,,,,,,
 anomaly[名],異例な物（人）、破格、例外,,,,,,,,
 Antarctica[名],南極大陸,,,,,,,,
 antibiotic[名],抗生物質,,,,,,,,
 applied[形],応用の,,,,,,,,
 apportion[動],割り当てる、配分する、振り分ける,,,,,,,,
 appreciative[形],鑑識眼的な、鑑賞的な、真価がわかる、目の高い,,,,,,,,
 arable[形],耕作可能な、耕作に適した,,,,,,,,
 Arctic[名],北極（圏）,,,,,,,,
 arguably[副],おそらく,,,,,,,,
 arid[形],乾燥した、不毛の、（話などが）つまらない,,,,,,,,
 arithmetic[名],計算、算術,,,,,,,,
 arsenal[名],兵器庫、兵器工場,,,,,,,,
 articulate[形],(人が）明瞭に話す能力がある、はっきりと発音された、(意味などが）はっきりと伝わる,,,,,,,,
 artisan[名],職人、熟練工,,,,,,,,
 ascertain[動],確かめる,,,,,,,,
 aspiring[形],野心に燃える、意欲的な,,,,,,,,
 assiduous[形],根気強い,,,,,,,,
 assonance[名],（音の）類似、類音,,,,,,,,
 assumed[形],仮定した、想定された、見せかけの、偽りの,,,,,,,,
 asteroid[名],小惑星,,,,,,,,
 asthma[名],ぜんそく,,,,,,,,
 astound[動],仰天させる、がくぜんとさせる,,,,,,,,
 atlas[名],地図帳,,,,,,,,
 atomise[動],（液体を）霧化する、細分化する,,,,,,,,
 auditory[形],聴覚の,,,,,,,,
 avidly[副],熱心に、貪欲に,,,,,,,,
 awry[形],間違って、ゆがんで,,,,,,,,
 banal[形],ありふれた、陳腐な,,,,,,,,
 barbed[形],とげのある、辛辣な,,,,,,,,
 barrage[名],集中砲火,,,,,,,,
 barrister[名],法廷弁護士,,,,,,,,
 baseline[名],基底線、基準線、基準値,,,,,,,,
 BCE[名],紀元前,,,,,,,,
 bearing[名],方角、方向、位置,,,,,,,,
 bewilder[動],当惑させる、困惑させる,,,,,,,,
 biased[形],偏見のある、先入観を持った,,,,,,,,
 bilateral[形],双方の、双方向の、２国間の,,,,,,,,
 binoculars[名],双眼鏡,,,,,,,,
 bipedal[形],二足歩行の、二足を持つ,,,,,,,,
 blackout[名],停電、意識喪失、サービス停止,,,,,,,,
 blowup[名],引き伸ばし写真、爆発,,,,,,,,
