academic[形],学問の、学業の、大学の
accomplish[動],成し遂げる、成就する
accord[名],一致
accordingly[副],したがって、それに応じて
accurate[形],正確な
acquisition[名],獲得、習得
admire[動],賞賛する、感心する
advantageous[形],有利な、好都合な
advertisement[名],広告、宣伝
advocate[動],提唱する、支持する、推奨する、弁護する
agent[名],代理人、（政府の）職員
agricultural[形],農業の
aircraft[名],航空機
alert[動],注意を喚起する、警告する
alligator[名],(アメリカ産の)ワニ
aluminum[名],アルミニウム
architect[名],建築家
architecture[名],建築、建築学、構造
arise[動],生じる、起こる
assessment[名],評価、査定、（環境などの）アセスメント
assign[動],割り当てる、配属する
assignment[名],（任務などの）割り当て、課題、宿題
assume[動],推定する、想定する、みなす、思い込む
assumption[名],仮定、想定、憶説、前提
atomic[形],原子の
auditorium[名],講堂、大講義室、公会堂
backbone[名],背骨、支柱、重要な要素
bald[形],禿げた、飾りのない
bamboo[名],竹
ban[名],禁止、禁止令
banking[名],銀行業務
beside[前],～のそばに
bias[名],偏見、先入観
bond[名],債券
bounce[動],はずむ、跳ねあがる
brand[動],烙印を押す
broadcast[名],放送
broadcasting[名],放送
broken[形],壊れた、故障した、折れた、くじけた
Buddhist[名],仏教徒
bulletin[名],掲示、掲示板
bury[動],埋める、埋葬する
button[名],ボタン
cabinet[名],内閣
cage[名],鳥かご、おり
canvas[名],画布
canyon[名],峡谷
capital[名],資本金、資本
carpenter[名],大工
casual[形],（服装が）カジュアルな、（出来事が）時々の、偶然の
cause[動],引き起こす、原因となる、もたらす
challenging[形],やりがいのある、困難な
characteristic[名],特徴、特性
chemical[名],化学物質（薬品）
chew[動],噛む
chiefly[副],主として、ほとんどが
Christianity[名],キリスト教
classify[動],分類する
code[名],規則、規定、規約
code[名],暗号、符号
colonial[形],植民地の
colony[名],群落、植民地
colorless[形],無色の、透明の
commitment[名],傾倒、献身、約束
commonly[副],一般（的）に、普通に　
communicate[動],意思伝達する、意思疎通する
communication[名],（情報の）やりとり、意思伝達
component[名],構成要素、部品
concrete[名],コンクリート
condominium[名],（分譲）マンション、コンドミニアム
construction[名],建設
consult[動],相談する、参照する
content[形],満足して
contest[動],競う、論争する
context[名],前後関係、文脈、状況
contrast[名],（際立った）相違、対照
convention[名],総会
cooperate[動],協力する
crack[名],割れ目、ひび
creamy[形],クリーム状の
creep[動],忍び込む、這う、這って進む
criminal[形],犯罪の
deadly[形],命取りになる、死の危険がある
debate[名],議論、討論、論争
debt[名],負債、借金
debut[名],デビュー
decade[名],10年、10年間
decline[動],衰退する、減少する
deficit[名],赤字
deliberate[形],故意の、計画的な
dense[形],密集した、密度の高い、濃い
depressing[形],意気消沈させるような、気をめいらせるような
deserve[動],～に値する
desired[形],望まれた
device[名],装置、機器
dialogue[名],対話
diligently[副],念入りに
disability[名],（身体、精神の）障害
discipline[名],規律、しつけ、鍛錬
dispute[動],論争する、異議を唱える
distinguish[動],見分ける、区別する、識別する
distribute[動],配る、配布する
divine[形],神聖な
divorce[動],離婚する
donate[動],寄付する、寄贈する
dormitory[名],寮
downstairs[副],階下へ（で）
downtown[副],繁華街/街の中心へ（で）
drag[動],引きずる、のろのろと動く
drill[名],訓練、練習
drown[動],溺死する
dusty[形],ほこりまみれの、ほこりで汚れた
ease[名],楽、安楽、容易さ
educational[形],教育の
elderly[形],高齢の、（the ～）高齢者
encounter[名],邂逅、出会い
endure[動],耐える、辛抱する、持ちこたえる、我慢する
enforce[動],（法律などを）施行する
engineer[名],技師、工学者
enlarge[動],拡大する、広くする
ensure[動],保証する、確実にする
enterprise[名],企業、事業
enthusiastic[形],熱心な、熱狂的な、乗り気な
equipment[名],装備、機器、設備
equivalent[形],等しい、相当する、同等の
essence[名],本質、エッセンス
eternally[副],永久に
evaluate[動],評価する、査定する
evil[形],邪悪な、悪質な
exactly[副],まさに、まさしく
excess[形],余分な
excite[動],興奮させる
exclude[動],除外する、締め出す
exhibit[動],展示する
existence[名],存在、実在
explanation[名],説明、弁明
extreme[形],極端な
facial[形],顔の
fade[動],薄れる、（徐々に）消えていく
faith[名],信頼、信仰、信念
faithful[形],忠実な、誠実な
fake[形],にせ物の
fascinate[動],魅了する
fascinating[形],魅力的な、うっとりさせる
feather[名],羽、羽毛
federal[形],連邦の、連邦政府の
fiction[名],小説、作り話、フィクション
fierce[形],猛烈な、激しい、どう猛な
finding[名],発見、調査結果
fine[名],罰金
fire[動],首にする、解雇する
fleet[名],艦隊、船団
flexibility[名],柔軟性、適応性、順応性
flexible[形],柔軟な、融通のきく
flour[名],小麦粉
forceful[形],強力な
foundation[名],基盤、基礎、土台
frighten[動],怖がらせる、おびえさせる
gear[名],用具、道具
gem[名],宝石
generate[動],発生させる、作り出す
generation gap[名],世代の断絶
gift[名],（天賦の）才能
globe[名],球体、地球
gorgeous[形],見事な、豪華な
grab[動],つかむ
grace[名],優美、優雅
grammatical[形],文法の、文法的に正しい
grave[名],墓
hallway[名],廊下、通路
handle[動],扱う、処理する
harden[動],硬化させる
harm[動],害する、傷つける
hawk[名],鷹、タカ派
headline[名],（新聞などの）見出し
heap[名],積み重ね、（積み重なった）山
honesty[名],正直、誠実、率直
horrible[形],恐ろしい、非常に嫌な
household[名],世帯、家庭
idiot[名],ばか
imitate[動],まねる、模倣する
impact[名],影響、反響、衝突
impose[動],課す、押しつける
impression[名],印象
improvement[名],改良、改善
increasingly[副],ますます、次第に
infection[名],感染、感染症
inferior[形],より劣った、下位の、下級の
inhabit[動],～に住んでいる、生息する
innocent[形],無実の、無罪の、無邪気な
inquiry[名],質問、問い合わせ、照会、取り調べ、調査
insect[名],昆虫
insecure[形],心配な、不安な、不確かな
insight[名],洞察、見識、洞察力
inspect[動],調査する、検査する
instance[名],例
instruction[名],指図、指示、説明（書）、指導
integrate[動],統合する、一体化する
internal[形],内部の、内側の、国内の
interpretation[名],解釈
invasion[名],侵入、侵略
irritate[動],いらいらさせる、怒らせる
irritation[名],いらだち、いらだたせるもの、ヒリヒリすること、刺激、炎症
jealous[形],嫉妬深い、ねたんで
juicy[形],水分の多い、水分を含んでいる
keen[形],熱心な
last[形],（theを前に置いて）最も可能性の低い
latter[名],後者
lead[名],指導
lie[動],うそをつく
limited[形],限られた、有限の
literary[形],文学の、文学的な
located[形],位置して
lung[名],肺
luxury[名],ぜいたく（品）
majesty[名],威厳
mall[名],商店街、ショッピングモール
manual[名],説明書、指導書
marine[形],海の
masterpiece[名],傑作、代表作
maximum[名],最大限
measure[名],対策、手段、処置
medium[名],媒体、手段
mend[動],直す、修理する
mess[名],散乱、乱雑、ぐちゃぐちゃな状態
missing[形],行方不明の、欠けている、不足している
mode[名],方式、様式
mostly[副],主に、大部分は
motion[名],動作、運動
motivation[名],意欲、やる気、動機
motorcycle[名],オートバイ
mutual[形],相互の
nasty[形],不快な、いやな、意地の悪い
naturally[副],自然に、当然
neglect[動],無視する、おろそかにする
neutral[形],中立の
non-fictional[形],ノンフィクションの
normally[副],通常は、普通は、正常に
nutrition[名],栄養
occasionally[副],時々、たまに
occurrence[名],発生、出来事
offend[動],～の気分を害する、～を怒らせる
offshore[形],海外の、沖合の
olive[名],オリーブ
once ～[接],ひとたび～すれば
oral[形],口の、口頭の
orchard[名],果樹園
organizer[名],設立者、主催者、世話人
outcome[名],結果、結末
outline[動],要点/概略を述べる
oval[名],楕円、卵形
oven[名],オーブン
overwhelm[動],圧倒する、打ちのめす
overwhelming[形],圧倒的な
oyster[名],カキ
palace[名],宮殿
palm[名],手のひら
participant[名],参加者、出場者
participate[動],参加する
partnership[名],提携
passive[形],受動的な
peer[名],同僚、仲間
peninsula[名],半島
permanently[副],永久に
personnel[形],人事の、職員の
photographic[形],写真の、写真による
plastic[形],ビニール製の、プラスチックの
politically[副],政治的に
popularity[名],人気、高い評判
praise[動],称賛する、褒めたたえる
preceding[形],前の
prefecture[名],県、府
prestigious[形],高名な、名声のある、権威のある
prior[形],（順序や時間などが）先の、前の
productive[形],生産性の高い、生産的な
profit[動],利益を得る
profound[形],深い、重大な
prompt[動],促す、駆り立てる
property[名],資産、財産、不動産
proportion[名],割合、比率
protein[名],たんぱく質
protestant[名],プロテスタント、新教徒
provision[名],供給、提供、準備、貯蔵品
psychology[名],心理学
puzzle[名],パズル、難問、謎、難題
radical[形],急進的な、過激な
rag[名],ぼろ
rage[名],怒り、激怒
randomly[副],でたらめに
ray[名],光線
recreation[名],レクリエーション
reform[名],改革、刷新
refreshing[形],さわやかな、すがすがしい、爽快にする
refugee[名],難民、避難者
refund[名],払い戻し、返金
region[名],地域、地帯
regulation[名],規制、規則
related[形],関係がある、関連した
reliable[形],信頼性のある、頼りになる
remark[動],述べる、言う
remark[名],コメント、意見、寸評
remarkable[形],注目に値する、目立った
repeatedly[副],繰り返して、何度も
reproduce[動],複製する、生殖する、再生する
reproduction[名],生殖（作用）、再生、複製
reputation[名],評判
resentment[名],憤慨
resistant[形],抵抗力のある
resolve[動],解決する
restriction[名],制限
retirement[名],（定年）退職、引退
revival[名],復活
revive[動],生き返らせる、復活させる
ridiculous[形],ばかばかしい、愚かな
ridiculously[副],滑稽なほどに
rinse[動],すすぐ
ripe[形],熟した
rocky[形],岩が多い
roughly[副],おおよそ、概略で
ruin[動],破滅させる、台無しにする
scream[動],叫び声/悲鳴をあげる
sculpture[名],彫刻
secure[形],安全な、保証された
seemingly[副],一見したところ、見た目には
senator[名],上院議員
sensational[形],扇情的な、世間をあっと言わせる
sensor[名],感知器、センサー
setting[名],設定、背景、環境
shape[動],形作る
share[名],占有率、分け前、割当て分
shelf[名],棚
shrink[動],縮む、縮まる、縮小する、減少する
silly[形],ばかな、くだらない、愚かな
sincere[形],誠実な、心からの
skeleton[名],骨格、骸骨
slap[動],（平手で）叩く、ぴしゃりと叩く
solely[副],唯一、単に、もっぱら
solution[名],解決、解決策
sore[形],（喉、筋肉などが）痛い、ひりひりする
span[名],期間、継続時間
spark[名],火花
specialized[形],専門化した、専門の
spider[名],クモ
splendid[形],豪華な、華麗な
square[名],広場、公園
squirrel[名],リス
stability[名],安定、安定性
stable[形],安定した、不変の
stamina[名],スタミナ、持久力
status[名],地位、立場
stiff[形],硬い、硬直した、(競争が)激しい
stretch[名],広がり、拡大解釈（こじつけ）
striking[形],著しい、際立った
strive[動],努力する
subsequent[形],その後の、次の
substantial[形],かなりの、相当の
subtle[形],微妙な、かすかな、気付きづらい
successor[名],後継者
suffering[名],不幸、苦しみ
suppress[動],抑制する、抑圧する、鎮圧する
surplus[名],余剰、黒字
suspend[動],宙吊りにする、つり下げる
swallow[動],飲み込む
swell[動],膨張する、腫れる、（数量が）増大する
syllable[名],音節
sympathy[名],同情、共感
talent[名],才能、素質、才能のある人、タレント
target[動],狙う、目標に定める
technician[名],技術者
thief[名],泥棒
thunder[名],雷、雷鳴
time[名],（歴史上の）時代（主に～s）
tip[名],（食堂などで渡す）チップ
tip[名],アドバイス、コツ、役立つ情報
touch[動],感動させる
trace[動],跡を追う、たどる
trace[名],痕跡、足跡
transmission[名],伝達、伝染
tremendous[形],莫大な、すさまじい
tribe[名],部族、種族
unbelievable[形],信じられない
uncover[動],暴く、明るみに出す、暴露する
undertake[動],引き受ける、請け負う、着手する
united[形],団結した、連合した
unlike[形],異なる
valid[形],妥当な、有効な、正当な
venture[名],冒険、冒険的事業
very[形],（theを伴って）まさに、当の
Vietnamese[形],ベトナム人の
viewer[名],見物人、視聴者、ビューアー
virtual[形],仮想の、事実上の
visa[名],ビザ、査証
weigh[動],重さを量る
wheat[名],小麦
whistle[動],口笛を吹く
white-collar[形],オフィス労働の
wilderness[名],荒野、原野
wind[動],曲がりくねる、巻きつく、巻きつける
withdraw[動],（現金を）引き出す、撤退する
work[動],機能する、作動する、うまくいく
worm[名],虫、イモムシ
wounded[形],（武器、凶器で）負傷した
wrestling[名],レスリング
zebra[名],シマウマ
