 aboard[副],（飛行機、列車などの乗り物に）乗って,,,,,,,,
 accuracy[名],正確さ、精度,,,,,,,,
 acknowledge[動],認める、認識する,,,,,,,,
 additional[形],追加の、追加的な,,,,,,,,
 address[動],（～に対して）演説する,,,,,,,,
 administrator[名],管理者、行政官,,,,,,,,
 aggressive[形],攻撃的な、押しの強い,,,,,,,,
 apparently[副],外見上、見たところでは、明らかに,,,,,,,,
 applicant[名],応募者、志願者,,,,,,,,
 appropriate[形],適切な、ふさわしい,,,,,,,,
 approval[名],許可、承認,,,,,,,,
 Arctic[形],北極の,,,,,,,,
 area[名],分野、領域,,,,,,,,
 area[名],面積,,,,,,,,
 arrest[動],逮捕する,,,,,,,,
 artistic[形],芸術的な,,,,,,,,
 ash[名],灰,,,,,,,,
 assess[動],評価する、査定する,,,,,,,,
 astronaut[名],宇宙飛行士,,,,,,,,
 astronomer[名],天文学者,,,,,,,,
 Atlantic Ocean[名],大西洋,,,,,,,,
 atmosphere[名],雰囲気,,,,,,,,
 attain[動],得る、獲得する、達成する,,,,,,,,
 attorney[名],弁護士、法定代理人,,,,,,,,
 aurora[名],オーロラ,,,,,,,,
 automated[形],自動化された,,,,,,,,
 automobile[名],自動車,,,,,,,,
 ballet[名],バレエ,,,,,,,,
 barrel[名],樽、ドラム缶,,,,,,,,
 beast[名],獣、野獣,,,,,,,,
 being[名],存在、生き物,,,,,,,,
 beneficial[形],有益な、役に立つ,,,,,,,,
 bond[名],きずな、結び付き,,,,,,,,
 breathing[名],呼吸、息をすること,,,,,,,,
 breed[名],品種、（動、植物の）種類,,,,,,,,
 briefly[副],手短に、要するに,,,,,,,,
 broadcast[動],放送する,,,,,,,,
 Buddhism[名],仏教,,,,,,,,
 bypass[動],迂回する,,,,,,,,
 calculate[動],計算する、算出する,,,,,,,,
 candidate[名],候補者,,,,,,,,
 candle[名],ろうそく,,,,,,,,
 capture[動],占領する、攻略する,,,,,,,,
 capture[動],捕獲する、捕まえる、記録する,,,,,,,,
 carrier[名],運ぶ人、保菌者,,,,,,,,
 category[名],部類、範疇,,,,,,,,
 caution[名],用心、警戒、注意,,,,,,,,
 cease[動],中止する、終わる,,,,,,,,
 certain[形],ある特定の、ある種の,,,,,,,,
 change[名],つり銭、おつり,,,,,,,,
 chat[動],雑談をする,,,,,,,,
 cheat[動],カンニングする、ごまかす,,,,,,,,
 chest[名],胸,,,,,,,,
 chill[動],冷える、冷やす,,,,,,,,
 chill[名],寒気,,,,,,,,
 chilly[形],肌寒い、冷える,,,,,,,,
 cite[動],引用する、引き合いに出す、挙げる,,,,,,,,
 Civil War[名],（アメリカの）南北戦争,,,,,,,,
 classical[形],古典的な、正統派の、（音楽が）クラシックの,,,,,,,,
 client[名],顧客、依頼人,,,,,,,,
 collapse[名],崩壊,,,,,,,,
