 abuse[動],乱用する、虐待する
 accelerate[動],加速させる、促進する
 access[名],接近（方法）、入手/利用する機会
 accessible[形],利用できる/しやすい、近づきやすい
 accident[名],事故、偶然の出来事
 accompany[動],付き添う、同行する、添付する
 accuse[動],告発する、非難する
 acid[形],酸性の
 actress[名],女優
 adequate[形],十分な、適切な
 adjust[動],調整する、順応する、適応する
 age[動],老いる、年齢を重ねる
 aisle[名],（劇場、列車などの）通路
 alarming[形],人を驚かせる、憂慮すべき
 alcohol[名],アルコール、酒
 alter[動],変える、変更する
 alternative[名],代替物、代替手段、代案
 amateur[形],素人の、アマチュアの
 amazing[形],驚くべき、素晴らしい
 analysis[名],分析、分析結果
 analyze[動],分析する
 anxious[形],心配して、切望して
 apart[副],離れて、～は別として
 apparent[形],明らかな、明白な、はっきりした
 appetite[名],食欲
 appreciate[動],正しく評価（理解）する、～の価値を認める
 appreciate[動],感謝する、～をありがたく思う
 appreciation[名],鑑賞すること、鑑賞眼、評価すること
 approve[動],承認する、了承する
 aquarium[名],水槽、水族館
 article[名],記事、論文
 associate[動],関連づける、結び付けて考える、連想する
 association[名],連合、協会
 assure[動],保証する、請け合う
 astronomy[名],天文学
 atom[名],原子
 availability[名],利用（入手）できること、（人の）手が空いている状態
 ballerina[名],バレリーナ
 barely[副],ほとんど～ない、かろうじて
 bean[名],豆
 bear[動],耐える、我慢する
 belly[名],腹、腹部
 bend[動],曲げる、曲がる、身をかがめる
 biologist[名],生物学者
 biology[名],生物学
 bloody[形],血まみれの、血なまぐさい
 bold[形],大胆な、派手な
 boost[動],上昇させる、高める、促進する
 bore[動],bearの過去形
 bowl[名],（調理などで使う）ボウル、鉢、容器
 brilliant[形],輝きのある、頭の切れる、素晴らしい
 burn[名],やけど
 cabinet[名],陳列棚、戸棚
 calculation[名],計算
 capable[形],能力がある
 cautious[形],注意深い、慎重な
 certainty[名],確信、確実性、確かさ
 challenge[名],課題、難問、挑戦
 chaos[名],混沌、大混乱
 characteristic[形],特徴のある、独特の
 characterize[動],特徴づける
 chief[形],主な、最高位の
 click[名],カチッという音
 collapse[動],崩壊する
 colored[形],色つきの
 comedy[名],喜劇、コメディー
 command[名],命令
 commander[名],司令官
 commonplace[形],平凡な、ありふれた
 comparatively[副],比較的に
 compromise[名],妥協、歩み寄り
 concern[動],影響する、関与する、関係する
 confident[形],自信がある、確信して、自信に満ちた
 conscious[形],意識して、気づいて、意識の強い
 consciousness[名],意識
 consequence[名],結果、成り行き、影響
 consequently[副],その結果、従って
 conservative[名],保守派
 considerably[副],かなり
 construct[動],建設する、組み立てる、構築する
 contract[名],契約、契約書
 contribution[名],貢献、寄与
 convenient[形],便利な
 conventional[形],伝統的な、因習的な、従来の
 convert[動],変える、転換させる、改造する
 core[名],核心、芯
 corporate[形],法人の、企業の、共同の、団体の
 corporation[名],法人、企業
 cotton[名],綿
 couch[名],長いす
 counselor[名],カウンセラー
 county[名],郡
 coverage[名],取材、報道
 crack[動],ひびが入る、砕ける
 crisis[名],危機
 cure[名],解決策、救済（法）、治療（法）
 currency[名],通貨
 cycle[名],周期、循環
 deadline[名],締切日（時間）、期限
 deceive[動],騙す、欺く
 deflation[名],デフレーション
 delete[動],削除する、消す
 dependable[形],信頼できる、頼りになる
 deposit[名],預金、敷金、保証金、埋蔵物
 descend[動],降りる、下降する
 devote[動],（金、時間、労力を）ささげる
 digital[形],デジタル（方式）の、数字で表示する
 dinosaur[名],恐竜
 disappearance[名],消滅、失踪
 disc[名],円盤、レコード、（コンピューターの）磁気ディスク、CD
 documentary[名],ドキュメンタリー
 donation[名],寄付、寄贈
 dump[動],（ごみなど）をまとめて捨てる
 eager[形],熱望して、熱心な
 economical[形],経済的な、コストがかからない
 economist[名],経済学者
 educator[名],教育者、教師
 electrical[形],電気の
 elegant[形],上品な
 elite[名],エリート
 encounter[動],遭遇する
 entertainment[名],娯楽、催し物、もてなし
 envelope[名],封筒
 exception[名],例外
 excess[名],超過、過多
 excessive[形],過度の、極端な
 exile[名],亡命（者）、国外追放(者）
 expose[動],さらす、暴露する
 extend[動],延長する、伸ばす、広げる
 extensive[形],広範囲にわたる
 extent[名],程度、規模、範囲
 facility[名],設備、施設
 facility[名],容易さ
 fairness[名],公正、公平
 farm[動],農業を行う、耕作する、養殖する
 fat[名],脂肪、油脂
 fate[名],運命、宿命
 faucet[名],水道の栓
 fiber[名],繊維（質）
 figure[名],人物
 figure[名],図表、図形
 fiscal[形],財政の、会計の
 flame[名],炎
 fluent[形],流暢な
 footstep[名],（通例～s）足音、足跡
 forgetful[形],忘れっぽい
 format[名],型、構成、フォーマット
 frank[形],率直な
 frown[動],顔をしかめる、眉をしかめる
 fundamental[形],基本的な、根本的な
 furthermore[副],おまけに、さらに、その上
 garment[名],衣服、衣類
 gasoline[名],ガソリン
 genre[名],（文学、音楽などの）ジャンル、様式
 goods[名],品物、商品、財、財産
 grade[動],等級に分ける、格付けする、採点する
