 abnormal[形],異常な、並外れた
 abnormality[名],異常
 abrupt[形],突然の、唐突な
 abruptly[副],不意に、突然
 acceleration[名],加速、加速度
 acclaim[動],賞賛する
 accountant[名],会計士、会計係
 accumulate[動],蓄積する、積み上げる
 ache[名],痛み
 admirable[形],賞賛に値する
 adolescence[名],青年期、思春期
 affiliate[動],提携する、提携させる
 allocate[動],割り当てる、配分する
 allowance[名],こづかい、手当
 anonymous[形],匿名の
 apathy[名],無感動、無関心
 applaud[動],拍手喝采する、称賛する
 archaeologist[名],考古学者
 architectural[形],建築上の
 arouse[動],喚起する、かき立てる
 aspirin[名],鎮痛剤
 assemble[動],組み立てる、集める
 assembly[名],組み立て、集会、議会
 assert[動],主張する、断言する
 autobiography[名],自叙伝
 autonomy[名],自治、自治権、自主性
 aviation[名],飛行、航空（学）
 awaken[動],換気する、起こす
 barren[形],（土地が）不毛の、(動物が)不妊の
 batch[名],（人、物の）一団、一群、一束
 battlefield[名],戦場
 besiege[動],包囲する、包囲攻撃する
 bind[動],縛る、拘束する、束縛する
 biological[形],生物学（上）の
 blade[名],刃、回転翼
 blaze[名],炎、火炎
 blink[動],まばたきする
 blood cell[名],血球
 bolster[動],元気付ける、高める、強化する
 bosom[名],胸
 boundary[名],境界
 brand-new[形],真新しい、新品の
 brass[名],真ちゅう、黄銅
 breeding[名],育ち、繁殖
 brew[動],醸造する、（茶、コーヒーを）入れる
 brink[名],縁、際、間際
 brisk[形],きびきびした、活気のある
 brutal[形],残忍な、野蛮な
 bullet[名],弾丸、銃弾
 bully[動],いじめる
 burial[名],埋葬、葬式
 capitalism[名],資本主義
 carbohydrate[名],炭水化物
 cardboard[名],ダンボール（材）、ボール紙、厚紙
 cardinal[形],主要な、基本的な
 carefree[形],心配のない、のんきな
 casualty[名],犠牲者、死者
 caterpillar[名],イモムシ　
 ceiling[名],上限、許容限度
 ceramic[名],陶芸、陶磁器類
 ceremonial[形],儀式の
 chant[動],詠唱する
 circular[形],円形の、循環の
 circulation[名],循環、流通、発行部数、（図書の）貸し出し（部数）
 clay[名],粘土
 coincide[動],一致する、同時に起こる
 collision[名],衝突、対立
 commemorate[動],記念する、祝う、追悼する
 commodity[名],商品、日用品、産物
 compatible[形],互換性がある、両立可能な
 compel[動],強いる
 compensate[動],賠償（補償）する
