 accommodation[名],（複数形で）宿泊施設、収容設備
 acquaintance[名],知り合い、知人
 acting[形],代理の、活動中の
 acute[形],（痛みなどが）急性の、激しい
 addiction[名],（薬物への）依存、中毒
 administer[動],管理する、運営する
 administrative[形],管理の
 adverse[形],有害な、不利な、敵対する、逆方向の
 advisory[形],助言の
 agenda[名],議事、議題、議事日程
 aging[名],老化、高齢化
 alienate[動],遠ざける、無視する、疎外する
 allergy[名],アレルギー
 ally[名],同盟国、同調者、支持者
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる
 amend[動],（法律などを）修正する
 ample[形],豊富な、十分すぎるほどの
 anticipate[動],予期する、予想する
 applause[名],拍手喝采、賞賛
 appliance[名],（家庭用の）器具、電化製品
 array[名],配列、隊列
 arrogant[形],横柄な、無礼な、傲慢な
 assassinate[動],暗殺する
 attribute[動],起因すると考える、おかげであるとする
 autograph[名],サイン、自筆
 ballot[名],票、投票、投票用紙
 barometer[名],気圧計
 betray[動],裏切る、だます、（秘密などを）漏らす
 blank[名],余白、空欄
 blast[動],爆破する、大きく鳴らす、強打する、攻撃する
 blessing[名],ありがたいもの、（天の）恵み
 bow[名],弓
 breakdown[名],崩壊、故障、内訳、分析
 breakthrough[名],飛躍的進歩、躍進
 breeze[名],そよ風、微風
 bud[名],つぼみ、芽
 buffalo[名],バッファロー
 bug[名],虫
 bulk[名],大部分、大半
 bulky[形],大きい、かさばる、扱いにくい
 bump[動],ぶつかる、ぶつける
 bureaucracy[名],官僚政治、官僚制度
 campaign[名],選挙戦、選挙遊説、軍事行動
 cannon[名],大砲、機関砲
 capitalist[形],資本主義の
 carbon dioxide[名],二酸化炭素
 cargo[名],積み荷、貨物
 carve[動],彫る、刻む
 cattle[名],（集合的に）牛
 celebrity[名],有名人、セレブ
 census[名],人口調査、国勢調査
 cereal[名],穀物、穀物食品（コーンフレークやオートミールなど）
 certification[名],証明書
 charcoal[名],木炭、炭
 citrus[名],柑橘類
 clarify[動],明らかにする
 coarse[形],きめの粗い、ざらざらした、粗野な
 coastal[形],沿岸の
 coastline[名],海岸線
 coherent[形],首尾一貫した、理路整然とした
 collaborate[動],協力する、共同する
 commodities[名],商品
 competent[形],能力のある、適格な、満足な
 complicate[動],複雑にする
 compliment[名],賛辞、お世辞、褒め言葉
 compression[名],圧縮
 conceive[動],思いつく、考え出す
 confess[動],告白する
 conspire[動],陰謀を企てる
 constituency[名],有権者、選挙区
 constraint[名],束縛、制約
 contempt[名],軽蔑
 continually[副],絶え間なく、常に
 contractor[名],請負業者、制約業者
 conversion[名],転換、改宗、換算
 convincing[形],もっともらしい
 coordination[名],調整、連携
 corrupt[形],腐敗した、堕落した
 corruption[名],汚職、腐敗、不正
 courtesy[名],礼儀
 credibility[名],信用できること、信頼性
 criterion[名],基準、尺度
 crook[動],ねじ曲げる
 crust[名],地殻、パンの耳、外側の硬い部分
 cultivable[形],耕作に適する
 curb[動],抑える、抑制する
 curly[形],巻き毛の
 curse[名],呪い、ののしり
 cylinder[名],筒、円筒、円柱
 dairy[名],乳製品、酪農、酪農業
 debris[名],がれき、破片、残骸、がらくた
 debtor[名],負債者、借金をしている人
 decent[形],そこそこの、まともな、上品な
 deceptive[形],人を誤らせる、誤解を招くような
 deepen[動],深くする、深める
 defect[名],欠陥、欠点
 deficiency[名],不足、欠乏
 derive[動],（化合物を）抽出する、引き出す
 despise[動],見下す、軽蔑する
 detach[動],引き離す、はずす
 deter[動],抑制する、抑止する、思いとどまらせる
 developing country[名],発展途上国
 diagnosis[名],診断、分析
 diameter[名],直径
 differentiate[動],を（～と）見分ける
 dignify[動],威厳をつける
 dilemma[名],板ばさみ、ジレンマ、窮地
 diligence[名],勤勉
 dip[動],浸す、急降下する
 diplomacy[名],外交（的手腕）
 discard[動],捨てる、廃棄する
 discharge[動],放出する
 discreet[形],思慮分別のある、慎重な
 discriminate[動],差別する、区別する
 disguise[名],変装
 dismantle[動],（機械などを）分解する
 disorder[名],（心身機能の）障害、疾患
 disorder[名],無秩序、混乱
 disperse[動],分散させる、追い散らす
 disrupt[動],破壊する、混乱させる、妨害する
 dissolve[動],溶ける、溶かす
 distinct[形],明らかに異なる、独特の
 distinctive[形],独特の、特有の、特徴的な
 distrust[名],不信
 diversity[名],多様性
 dividend[名],配当、分け前
 doctrine[名],主義、教義、学説
 dominant[形],支配的な、優勢の
 doom[名],運命、宿命
 drawing[名],線画、描画、図面、抽選（会）
 dreadful[形],恐ろしい、ひどく悪い、はなはだしい
 duration[名],継続、持続、継続時間（期間）
 dwarf[動],（対照的に）小さく見せる
 dwelling[名],住居
 dye[名],染料、染色液
 effortless[形],容易な
 electronically[副],電気的に
 elevation[名],高さ、上昇
 eligible[形],適格な、資格がある
 embark[動],乗り出す、着手する
 embrace[動],抱擁する、（考えなどを）受け入れる、（中に）含む
 emerald[名],エメラルド
 emigration[名],移住
 emission[名],放出、排出
 enact[動],（法律などを）制定する
 energize[動],元気づける、活力を与える
 enrich[動],豊かにする
 entangle[動],もつれさせる、絡ませる
 entrepreneur[名],起業家、事業家
 envious[形],ねたんで
 epidemic[名],流行病、伝染病
 erect[動],建てる、直立させる
 erupt[動],爆発する、噴火する
 eruption[名],噴火
 ethics[名],倫理、道徳、倫理学
 evolutionary[形],進化の
 ex-wife[名],前の妻
 exclaim[動],叫ぶ
 exclusive[形],排他的な、独占的な
 execute[動],死刑にする、処刑する
 expend[動],費やす
 expenditure[名],費用、出費、支出
 expire[動],期限切れになる、息をひきとる
 explicit[形],明白な、明確な、率直な
 exploit[動],利用する、つけ込む、搾取する、開発する
 explosive[形],爆発しやすい、爆発（性）の
 exquisite[形],優美な、精緻な、洗練された
 external[形],外部の、外側の
 extract[動],抽出する
 extravagant[形],浪費する、金遣いの荒い
 fabulous[形],素晴らしい
 faithfulness[名],忠誠
 falter[動],(決心が)ひるむ
 fatal[形],致命的な、命にかかわる
 favorable[形],好都合な、好ましい
 fertilizer[名],肥料
 fictional[形],作り話の、架空の
 finely[副],立派に、すばらしく
 firsthand[名],直接の、（情報などが）直接得た
 flap[動],ぱたぱたと動く/動かす
 flaw[名],欠陥、不具合、不備
 flea[名],ノミ
 fluid[名],液体、流動体
 folklore[名],民間伝承、民俗学
 fossil[名],化石
 fridge[名],冷蔵庫
 frost[名],霜
 functional[形],機能的な
 furious[形],激怒した、憤慨した
 furnace[名],炉、溶鉱炉
