 abolish[動],廃止する、なくす
 absorb[動],吸収する
 abstract[形],抽象的な
 accommodate[動],（ホテル/施設が）～を収容する、収容能力がある
 acoustic[形],聴覚の、音響（学）の
 addict[名],(薬物の)中毒者、常用者
 adulthood[名],大人であること、大人の時代
 aesthetic[形],美的な、美学の
 affirm[動],～と断言する
 African Americans[名],アフリカ系アメリカ人
 aggregate[形],総計の、集合した
 aggression[名],侵害
 agony[名],苦悩、苦痛
 agreeable[形],快適な、心地よい、感じの良い
 alliance[名],同盟、提携
 alternate[形],代替の、交互の
 ambulance[名],救急車
 amendment[名],改正、修正、修正条項
 anchor[動],いかりを下ろす、固定する
 ankle[名],足首、くるぶし
 annoying[形],しゃくに障る、いらいらさせる、うっとうしい、苦しめる、うるさい
 anonymity[名],匿名、匿名性
 appendix[名],（本などの）補遺、別表
 archaeology[名],考古学
 archive[名],公文書、記録、記録保管所
 armed[形],肘つきの、武装した
 armored[形],よろいを付けた、装甲した、武装した
 arrogance[名],傲慢さ
 aspiration[名],切望、抱負
 astronomical[形],天文学的な、天文学の
 automation[名],自動化、オートメーション（※機械による自動操業）
 autonomous[形],自律的な、自主的な、自治の
 backache[名],背痛
 bankruptcy[名],破産、倒産
 banquet[名],夕食会、晩さん会、宴会
 behavioral[形],行動の、行動に関する
 biography[名],伝記、略歴
 biologically[副],生物学的に
 bizarre[形],風変りな、異様な
 blackness[名],黒さ
 blanket[動],覆う
 bleed[動],出血する
 blossom[名],花
 blunt[形],ぶっきらぼうな、そっけない
 boast[動],自慢する、誇る
 bribe[名],賄賂
 brick[名],れんが
 brochure[名],小冊子、パンフレット
 bulk[名],かさ、容量、大量
 bureaucrat[名],官僚
 cab[名],タクシー
 cabbage[名],キャベツ
 canal[名],運河、用水路
 cane[名],つえ
 cape[名],ケープ（※袖なしのマント）、岬
 cartoon[名],マンガ
 catastrophe[名],破滅的状況、大惨事、大災害
 cathedral[名],大聖堂
 cause[名],目標、大義
 celebrated[形],有名な
 centralize[動],中央集権化する、集中させる
 certificate[名],免許状、証明書
 certify[動],証明する、保証する
 charter[名],憲章、定款、設立勅許状
 check[名],抑制
 cheerfully[副],にこやかに
 cherish[動],心に抱く、大事にする
 china[名],陶磁器
 chronic[形],慢性の、慢性的な
 chunk[名],塊
 circulate[動],広まる、配布される、循環する
 citizenship[名],市民（公民）権
 civic[形],市民の
 civil right[名],市民権
 civil war[名],内戦
 classification[名],分類、区分
 cleanse[動],きれいにする
 cling[動],しがみつく
 clumsy[形],下手な、不器用な、ぎこちない
 cluster[名],集団、束
 coalition[名],有志連合、（政党などの）連立
 coffin[名],棺
 common sense[名],良識、常識
 compassion[名],同情、あわれみ
 compelling[形],説得力のある、強制的な
 compile[動],編集する、編纂する
 comply[動],（規則などに）従う
 compose[動],構成する
 compound[名],複合物、化合物
 compress[動],を圧縮する、詰め込む
 comprise[動],（～から）成る、（～を）包含する、（～を）構成する
 confine[動],（ある範囲に）限定する、制限する
 conquer[動],征服する
 conscience[名],良心、分別
 consecutive[形],連続した、間をおかない
 conservation[名],保護、保存
 constituent[名],構成要素、成分、有権者
 constitute[動],構成する
 constitution[名],憲法
 contain[動],抑え込む、制御する
 contamination[名],汚染
 contemplate[動],熟考する
 contend[動],主張する、争う
 continuously[副],繰り返し
 contract[動],縮まる
 contradict[動],矛盾する、否定する、反論する
 cool[形],スゴイ、かっこいい、すばらしい
 corpse[名],死体
 cosmetic[名],化粧品
 count[動],重要である
