 abate[動],和らぐ、治まる、少なくなる
 abide[動],（～に）従う、順守する
 abrasive[名],研磨材
 account[動],見なす（受身で）
 acoustics[名],音響学
 adaptation[名],適応、脚色
 additive[名],（食品などの）添加物
 admonish[動],～に忠告する、～を諭す
 adversary[名],敵、対戦相手
 adversity[名],逆境、災難、不運
 agent[名],媒介、作用物質
 agile[形],機敏な、頭の回転が速い
 agitate[動],扇動する、動揺させる
 airborne[形],浮遊の、風媒の、空輸の
 alchemist[名],錬金術師
 alcoholic[形],アルコールの
 allergic[形],アレルギー性の、アレルギー体質の
 alloy[名],合金
 allure[動],魅惑する、誘い込む
 aloft[副],空中に、空高く
 ambush[動],待ち伏せて急襲する
 anesthesia[名],麻酔
 anguish[名],苦痛、苦悩
 annex[動],併合する、付け加える
 annex[名],別館、離れ
 Antarctic[名],南極
 antelope[名],（インパラやガゼルなどのウシ科）アンテロープ
 antiabortion law[名],中絶禁止法
 antibiotics[名],抗生物質
 antipathy[名],嫌悪、反感
 apathetic[形],無関心な、感情のない、冷淡な
 apparatus[名],装置、器具
 apprentice[名],見習い、実習生
 appropriation[名],割り当て、充当金
 aquatic[形],水生の、水中の
 aquifer[名],帯水層
 arable[形],耕作可能な、耕作に適した
 archetype[名],原型、典型的な見本、模範
 ardent[形],熱心な
 ardor[名],熱心、熱意
 armor[名],よろい、装甲
 aroma[名],香り、香気、気品
 arsenal[名],兵器庫、兵器工場
 arson[名],放火（罪）
 ascendancy[名],優位、支配
 asteroid[名],小惑星
 attributable[動],原因が～のせいと考える
 attrition[名],（人員などの）自然減、磨滅、消耗
 avalanche[名],雪崩
 aviator[名],飛行士
 ax[名],おの
 babble[動],片言でぶつぶつ言う
 bandit[名],賊
 bearish[形],弱気の、（熊のように）粗暴な
 bedrock[名],基盤、基礎、根底
 beehive[名],ハチの巣
 beep[名],警告音
 bill[名],(水鳥などの偏平な)くちばし
 blackout[名],停電、意識喪失、サービス停止
 blizzard[名],吹雪、雪嵐
 boredom[名],退屈
 botany[名],植物学
 bountiful[形],豊富な、物惜しみしない
 bracket[名],階層
 capricious[形],気まぐれな、移り気な
 caste[名],カースト、カースト制度
 Caucasoid[名],コーカソイド人種
 caustic[形],手厳しい、辛辣な
 cell division[名],細胞分裂
 chaotic[形],混沌とした、無秩序な
 choreograph[動],（ダンスなどの）振り付けをする
 chromosome[名],染色体
 co-worker[名],同僚、協力者
 cohesive[形],結合力のある、粘着する
 combustible[形],可燃性の、燃えやすい
 commotion[名],騒動、動揺
 complementary[形],補足的な
 concave lens[名],凹レンズ
 concave[形],凹面の、凹形の
 condone[動],許す、大目に見る
 configuration[名],配置、形状、配列
 Confucianism[名],儒教
 congested[形],渋滞した、混雑した
 congregate[動],集まる、集合する、召集する
 convent[名],修道院（※特に尼僧のものをさす）
 convex lens[名],凸レンズ
 corrosive[形],腐食性の、浸食する、むしばむ
 cosmic[形],宇宙の
 creditable[形],賞賛に値する
 cube root[名],立方根
 cubism[名],立体派
 cumbersome[形],扱いにくい、厄介な
 cuneiform[名],くさび形文字
 curfew[名],門限
 cylindrical[形],円柱の、円筒形の
 dangle[動],ぶら下がる、垂れる
 deciduous tree[名],落葉樹
 decomposer[名],（ミミズやバクテリアなどの）分解生物
 demise[名],消滅、死去、終焉
 deplore[動],非難する、遺憾に思う、嘆く
 depression[名],うつ病
 desolate[形],荒廃した、不毛の
 despicable[形],いやしむべき
 detergent[名],洗剤
 devastate[動],困惑させる、打ちのめす、荒廃させる
 devotee[名],愛好者
 dexterous[形],器用な
 diabetic[名],糖尿病患者
 diarrhea[名],下痢
 diphtheria[名],ジフテリア
 diploma[名],卒業証書、免許状
 discern[動],見分ける、識別する
 discourse[名],会話、講演、論文
 discriminating[形],識別力のある、差別的な
 disdain[動],軽蔑する、見下す
 dislocation[名],脱きゅう
 dispel[動],追い散らす、払い去る
 dispensary[名],診療所
 disposition[名],（人の）性質、気質、傾向
 dissolution[名],消滅、分解、溶解
 dissuade[動],説得して思いとどまらせる
 divergent[形],異なる、分岐する
 diversification[名],変化
 domain[名],分野、領域、範囲
 dormant volcano[名],休火山
 dorsal[形],背面にある
 downfall[名],転落、失脚、（雨などの）大降り
 draft[動],起草する、原稿を書く
 droplet[名],小さな滴
 drowsiness[名],眠気
 dune[名],砂丘
 eclectic[形],折衷的な、取捨選択からなる
 economize[動],節約する
 edible[形],食べられる、食用の
 elastic[形],弾力性のある、融通性のある
 ellipse[名],楕円
 embezzle[動],横領する、使い込む
 embryo[名],胚
 engrave[動],（石などに文字や図案を）彫る、刻む
 enlightenment[名],啓発、啓蒙
 eradicate[動],根絶する、撲滅させる
 evaporation[名],蒸発
 evasion[名],回避、言い逃れ
 exasperate[動],腹を立てる
 exceedingly[副],非常に、極めて
