absurd[形],ばかげた、道理に合わない,,,,,,,,
 additional[形],追加の、追加的な,,,,,,,,
 adequate[形],十分な、適切な,,,,,,,,
 adjust[動],調整する、順応する、適応する,,,,,,,,
 advertisement[名],広告、宣伝,,,,,,,,
 advertising[名],広告,,,,,,,,
 aircraft[名],航空機,,,,,,,,
 alert[形],警戒して、油断のない、注意を怠らない,,,,,,,,
 alter[動],変える、変更する,,,,,,,,
 amazing[形],驚くべき、素晴らしい,,,,,,,,
 ambassador[名],大使,,,,,,,,
 analyze[動],分析する,,,,,,,,
 annoy[動],悩ませる、いらいらさせる,,,,,,,,
 appetite[名],食欲,,,,,,,,
 architect[名],建築家,,,,,,,,
 architecture[名],建築、建築学、構造,,,,,,,,
 area[名],分野、領域,,,,,,,,
 arise[動],生じる、起こる,,,,,,,,
 artistic[形],芸術的な,,,,,,,,
 artwork[名],イラスト、芸術作品,,,,,,,,
 ash[名],灰,,,,,,,,
 aspect[名],様相、側面,,,,,,,,
 asset[名],資産、財産,,,,,,,,
 association[名],連合、協会,,,,,,,,
 assurance[名],保証、請け合い,,,,,,,,
 astonish[動],驚かせる、仰天させる,,,,,,,,
 athletic[形],運動競技の、運動好きの,,,,,,,,
 automated[形],自動化された,,,,,,,,
 background[名],背景、経歴,,,,,,,,
 ban[動],禁止する,,,,,,,,
 basement[名],地階、地下室,,,,,,,,
 bean[名],豆,,,,,,,,
 bend[動],曲げる、曲がる、身をかがめる,,,,,,,,
 benefit[動],～のためになる、利益を得る,,,,,,,,
 bid[名],入札,,,,,,,,
 board[動],乗り込む、搭乗する,,,,,,,,
 bone[名],骨,,,,,,,,
 bonus[名],ボーナス、特別手当、特典,,,,,,,,
 booking[名],予約,,,,,,,,
 boost[動],上昇させる、高める、促進する,,,,,,,,
 briefly[副],手短に、要するに,,,,,,,,
 burden[名],重荷、負担,,,,,,,,
 bury[動],埋める、埋葬する,,,,,,,,
 calculate[動],計算する、算出する,,,,,,,,
 calculator[名],計算機、電卓,,,,,,,,
 candidate[名],候補者,,,,,,,,
 capture[動],捕獲する、捕まえる、記録する,,,,,,,,
 casual[形],（服装が）カジュアルな、（出来事が）時々の、偶然の,,,,,,,,
 caution[動],警告する、注意を与える,,,,,,,,
 caution[名],用心、警戒、注意,,,,,,,,
 cautious[形],注意深い、慎重な,,,,,,,,
 cease[動],中止する、終わる,,,,,,,,
 certain[形],ある特定の、ある種の,,,,,,,,
 cheat[動],カンニングする、ごまかす,,,,,,,,
 check-in[名],（空港での）搭乗手続き、（ホテルでの）チェックイン,,,,,,,,
 checkup[名],健康診断、検査、点検,,,,,,,,
 cheer[動],励ます、元気づける,,,,,,,,
 chef[名],シェフ、料理長、料理人,,,,,,,,
 chemical[名],化学物質（薬品）,,,,,,,,
 collapse[名],崩壊,,,,,,,,
 collar[名],襟,,,,,,,,
 colleague[名],同僚,,,,,,,,
 collective[形],集団の、共同の,,,,,,,,
 combined[形],共同の、連合の,,,,,,,,
 communicate[動],意思伝達する、意思疎通する,,,,,,,,
 commuter[名],通勤者、通学者,,,,,,,,
 comparable[形],匹敵する、同程度の,,,,,,,,
 comparison[名],比較、対比,,,,,,,,
 complicated[形],複雑な,,,,,,,,
 component[名],構成要素、部品,,,,,,,,
 concentration[名],集中,,,,,,,,
 confident[形],自信がある、確信して、自信に満ちた,,,,,,,,
 confront[動],直面する、取り組む、対決する,,,,,,,,
 confuse[動],混乱させる、混同する,,,,,,,,
 connect[動],つなぐ、接続する,,,,,,,,
 consent[動],同意する、承諾する,,,,,,,,
 considerably[副],かなり,,,,,,,,
 consideration[名],考慮、斟酌,,,,,,,,
 consistent[形],首尾一貫した,,,,,,,,
 construct[動],建設する、組み立てる、構築する,,,,,,,,
 consume[動],消費する,,,,,,,,
 contract[動],（協定など）を結ぶ、契約する,,,,,,,,
 contract[名],契約、契約書,,,,,,,,
 contrast[名],（際立った）相違、対照,,,,,,,,
 controversy[名],論争,,,,,,,,
 conversation[名],会話、話し合い,,,,,,,,
 convince[動],納得させる、説得する,,,,,,,,
 corporate[形],法人の、企業の、共同の、団体の,,,,,,,,
 correspond[動],一致する、調和する,,,,,,,,
 counterpart[名],相当/対応する物（人）,,,,,,,,
 coupon[名],クーポン、割引券,,,,,,,,
 court[名],法廷、宮廷,,,,,,,,
 coverage[名],取材、報道,,,,,,,,
 daring[形],大胆不敵な、無鉄砲な,,,,,,,,
 declare[動],申告する,,,,,,,,
 decline[動],衰退する、減少する,,,,,,,,
 definitely[副],明確に、はっきりと、間違いなく,,,,,,,,
 definition[名],定義,,,,,,,,
 degree[名],学位,,,,,,,,
 delegate[名],代表、使節,,,,,,,,
delight[名],喜び、楽しみ,知ってる,2020/7/4,,1,,,,
 deposit[名],預金、敷金、保証金、埋蔵物,知ってる,2020/5/16,,,,,,
 deserve[動],～に値する,知ってる,2020/7/3,5,0,,,,0
 detective[名],探偵、刑事,知ってる,2020/5/18,,,,,,
 developer[名],宅地開発業者、開発者,知ってる,2020/6/24,,,,,,
 dialogue[名],対話,知ってる,2020/7/3,,1,,,,
 differ[動],異なる,知ってる,2020/5/18,,,,,,
 dining[名],食事、正餐,知ってる,2020/5/19,,,,,,
 diplomatic[形],外交（上）の,知ってる,2020/5/19,,,,,,
 disagree[動],意見が合わない、不賛成である,知ってる,2020/5/18,,,,,,
 discipline[名],規律、しつけ、鍛錬,知ってる,2020/7/3,,1,,,,
 discourage[動],やる気を失わせる、思いとどまらせる、妨げる,知ってる,2020/5/19,1,,,,,
 disease[名],病気、疾病,知ってる,2020/7/4,,1,,,,
 dismiss[動],解散させる、散会させる,知らない,2020/7/4,2,0,,,,0
 distract[動],（注意などを）そらす、気を散らす,知ってる,2020/6/22,1,,,,,
 disturb[動],混乱させる、妨害する,知ってる,2020/5/19,,,,,,
 diverse[形],多様な,知ってる,2020/5/18,,,,,,
 division[名],部局、部門,知ってる,2020/6/22,,,,,,
 donate[動],寄付する、寄贈する,知ってる,2020/7/3,,1,,,,
 download[動],ダウンロードする,知ってる,2020/6/22,,,,,,
 earnest[形],まじめな、熱心な、本気の,知ってる,2020/7/4,,1,,,,
 eggplant[名],なす,知ってる,2020/6/30,,,,,,
 elaborate[形],手の込んだ、入念な,知ってる,2020/5/18,,,,,,
 elderly[形],高齢の、（the ～）高齢者,知ってる,2020/7/3,,1,,,,
 eloquent[形],雄弁な、説得力のある,知ってる,2020/5/19,,,,,,
 emphasis[名],強調、重点,知ってる,2020/7/4,,1,,,,
