 academic[形],学問の、学業の、大学の
 accompany[動],付き添う、同行する、添付する
 accomplish[動],成し遂げる、成就する
 accounting[名],会計、経理
 accurate[形],正確な
 acid[形],酸性の
 acquisition[名],獲得、習得
 address[動],～（問題など）に取り組む/対処する、～（問題など）を取り扱う
 agent[名],代理人、（政府の）職員
 aggressive[形],攻撃的な、押しの強い
 aisle[名],（劇場、列車などの）通路
 alarming[形],人を驚かせる、憂慮すべき
 alternative[名],代替物、代替手段、代案
 amateur[形],素人の、アマチュアの
 ambition[名],熱望、野心
 antique[形],古い、骨董の
 appreciate[動],感謝する、～をありがたく思う
 approximately[副],およそ、約～
 article[名],記事、論文
 assessment[名],評価、査定、（環境などの）アセスメント
 assignment[名],（任務などの）割り当て、課題、宿題
 assure[動],保証する、請け合う
 attorney[名],弁護士、法定代理人
 automobile[名],自動車
 awkward[形],不格好な、ぎこちない、気まずい
 ban[名],禁止、禁止令
 battery[名],電池、バッテリー
 bold[形],大胆な、派手な
 broadcasting[名],放送
 bulb[名],電球、球根
 bunch[名],束、房
 cashier[名],（店などの）レジ
 cause[動],引き起こす、原因となる、もたらす
 chart[名],図、グラフ
 check[名],（レストランの）伝票
 chill[動],冷える、冷やす
 column[名],列、欄
 command[名],命令
 commute[名],通勤（通学）
 competitive[形],競争的な、競争力のある、競争の激しい
 competitor[名],競合企業、競争相手
 comprehensive[形],包括的な、広範囲な
 compromise[動],妥協する、譲歩する
 computing[名],コンピューター計算、コンピューターの使用
 confidential[形],機密の、マル秘の
 consequence[名],結果、成り行き、影響
 considerable[形],(数量、程度などが）かなりの
 consist[動],（後ろにof ～を置いて）～から成る、成り立つ
 construction[名],建設
 consultant[名],コンサルタント、顧問
 contrary[形],反対の
 convention[名],総会
 conventional[形],伝統的な、因習的な、従来の
 convinced[形],確信して
 cop[名],警官、刑事
 corporation[名],法人、企業
 correspondence[名],通信、（手紙やメールでの）やり取り
 criminal[形],犯罪の
 cruel[形],冷酷な、無慈悲な、残酷な
 cultivate[動],栽培する、育てる、養殖する
 cycle[名],周期、循環
 deadline[名],締切日（時間）、期限
 debt[名],負債、借金
 decline[動],断る
 decline[名],減退、減少
 demonstrate[動],明示する、論証する、説明する
 dentist[名],歯医者
 desirable[形],望ましい
 desperate[形],（人、努力が）必死の
 device[名],装置、機器
 diligent[形],勤勉な
 dinosaur[名],恐竜
 disappoint[動],がっかりさせる、失望させる
 disaster[名],大惨事、大災害
 distinguish[動],見分ける、区別する、識別する
 dizzy[形],めまいがする
 donation[名],寄付、寄贈
 doorway[名],戸口、玄関先
 double[動],倍になる、倍にする
 downstairs[副],階下へ（で）
 downtown[副],繁華街/街の中心へ（で）
 draft[名],草稿
 drawer[名],引き出し
 drunk[形],酔っぱらった
 eagerly[副],熱心に、熱望して
 earnings[名],（労働の）収入、給料
 ecological[形],生態の、環境保護の
 economically[副],経済的に
 effectively[副],効果的に、事実上
 elite[名],エリート
 emergency[名],緊急事態、非常時
 encounter[動],遭遇する
 endanger[動],危険にさらす
 engagement[名],約束、取り決め、婚約
 enhance[動],（価値、能力などを）高める、向上させる、
 entertaining[形],面白い、愉快な
 enthusiastic[形],熱心な、熱狂的な、乗り気な
 entirely[副],全く、完全に
 equally[副],同程度に、等しく
 era[名],時代、年代
 especially[副],特に
 excess[形],余分な
 exclude[動],除外する、締め出す
 execute[動],実行する、制作する
 exhibit[名],展示物、展示会、展示
 expand[動],広げる、拡張する、拡大する
 expansion[名],拡大、拡張
 experienced[形],経験豊富な
 fabric[名],織物、布地
 fade[動],薄れる、（徐々に）消えていく
 farewell[名],送別
 fate[名],運命、宿命
 fatigue[名],疲労
 feedback[名],反応、参考意見、フィードバック
 fiction[名],小説、作り話、フィクション
 figure[名],人物
 figure[名],数字、数字の桁
 figure[名],姿、形状、体形
 financial[形],財政の、財政上の
 fire[動],首にする、解雇する
 flexible[形],柔軟な、融通のきく
 flour[名],小麦粉
 flu[名],（the -）インフルエンザ
 fluent[形],流暢な
 foundation[名],基盤、基礎、土台
 frown[動],顔をしかめる、眉をしかめる
 garment[名],衣服、衣類
 gas[名],ガソリン
 gift[名],（天賦の）才能
 glance[名],ちらりと見ること
 global warming[名],地球温暖化
 grab[動],つかむ
 gradual[形],徐々の、漸進的な、段階的な
 grateful[形],感謝している
 gratitude[名],感謝（の意）
 greet[動],あいさつする、出迎える
 grocery store[名],食料雑貨店
 guilty[形],有罪の、罪の意識がある
 hallway[名],廊下、通路
 handsome[形],ハンサムな、端正な顔立ちの
 healthcare[名],保健医療、健康管理
 heap[名],積み重ね、（積み重なった）山
 highway[名],（高速）道路
 historical[形],歴史の（に関する）
