aboard[副],（飛行機、列車などの乗り物に）乗って
 absolute[形],全くの、絶対の、完全な
 abuse[動],乱用する、虐待する
 accelerate[動],加速させる、促進する
 access[名],接近（方法）、入手/利用する機会
 accessible[形],利用できる/しやすい、近づきやすい
 accessory[名],装飾品、付属品
 accident[名],事故、偶然の出来事
 accordingly[副],したがって、それに応じて
 acknowledge[動],認める、認識する
 acquire[動],習得する、獲得する、手に入れる
 advise[動],忠告する、助言する
 agricultural[形],農業の
 alert[動],注意を喚起する、警告する
 alternative[形],代わりの、代替の、二者択一の
 amaze[動],びっくりさせる、驚かす
 antique[名],骨董品
 apparent[形],明らかな、明白な、はっきりした
 apparently[副],外見上、見たところでは、明らかに
 appropriate[形],適切な、ふさわしい
 arrest[動],逮捕する
 artificial[形],人工の、人工的な
 assess[動],評価する、査定する
 associate[名],仲間
 assume[動],推定する、想定する、みなす、思い込む
 astronaut[名],宇宙飛行士
 auditorium[名],講堂、大講義室、公会堂
 authentic[形],真正な、本物の
 availability[名],利用（入手）できること、（人の）手が空いている状態
 bankrupt[形],破産した
 barely[副],ほとんど～ない、かろうじて
 barrel[名],樽、ドラム缶
 bear[動],生む（産む）、（花や果実を）実らせる、（心などに）抱く、持つ
 belong[動],所属している
 beneficial[形],有益な、役に立つ
 besides[前],～に加えて、～のほかに
 bet[動],きっと～だと思う
 book[動],予約する
 budget[名],予算
 bulletin[名],掲示、掲示板
 cabinet[名],内閣
 cabinet[名],陳列棚、戸棚
 candle[名],ろうそく
 challenging[形],やりがいのある、困難な
 characteristic[形],特徴のある、独特の
 childish[形],子供じみた
 cleverly[副],巧妙な、賢く
 clue[名],手がかり、糸口、端緒
 colony[名],群落、植民地
 commentator[名],コメントする人、解説者
 commitment[名],傾倒、献身、約束
 commute[動],通勤（通学）する
 competitiveness[名],（製品などの）競争力
 completion[名],完了、終了
 compromise[名],妥協、歩み寄り
 conceal[動],隠す、隠ぺいする
 concentrate[動],集中する、凝縮する、終結する、濃縮する
 concern[動],影響する、関与する、関係する
 condemn[動],非難する
 condominium[名],（分譲）マンション、コンドミニアム
 confirm[動],（真実であることを）確認する、裏付ける
 confirmation[名],確認
 consent[名],同意、承諾
 consumption[名],消費
 contemporary[形],現代の、現代的な
 convert[動],変える、転換させる、改造する
 cooperation[名],協力
 cooperative[形],協力的な
 cope[動],うまく処理する（with ～を後ろに置いて）
 costume[名],衣装
 county[名],郡
 craft[名],工芸、技術
 crisis[名],危機
 critic[名],評論家、批評家、批判する人
 critical[形],重大な、決定的な、危機的な、
 crosswalk[名],横断歩道
 cure[動],（病気などを）治す
 deadly[形],命取りになる、死の危険がある
 debut[名],デビュー
 deceive[動],騙す、欺く
 defense[名],防衛
 deficit[名],赤字
 delegation[名],代表団、使節、派遣団
 departure[名],出発
 dependable[形],信頼できる、頼りになる
 dependence[名],依存
 deserted[形],人の気配がない
 destination[名],目的地
 detail[動],詳しく述べる、列挙する
 digital[形],デジタル（方式）の、数字で表示する
 disadvantage[名],不利、損失、不都合なこと
 discount[名],割引
 dispute[名],論争
 disturbance[名],混乱、騒動
 divorce[動],離婚する
 dock[名],波止場、埠頭（ふとう）
 dump[動],（ごみなど）をまとめて捨てる
 economical[形],経済的な、コストがかからない
 edit[動],（原稿など）を編集する
 embarrassing[形],恥ずかしい
 emerge[動],現れる、出現する、生まれる
 enable[動],可能にする
 enlarge[動],拡大する、広くする
 enroll[動],登録する、入会する
 ensure[動],保証する、確実にする
 enter[動],記入する、入力する、入学する
 enterprise[名],企業、事業
 entertainment[名],娯楽、催し物、もてなし
 enthusiasm[名],情熱、熱中
 entire[形],全体の、全部の
 equivalent[形],等しい、相当する、同等の
 eternal[形],永遠の、永久の
 evaluation[名],評価
 eventually[副],最終的には、結局は
 exhaust[動],疲れはてさせる、使い果たす
 existing[形],既存の、現存の
 expedition[名],遠征（隊）、探検
 expo[名],博覧会
 extend[動],延長する、伸ばす、広げる
 extent[名],程度、規模、範囲
 feature[動],出演させる、呼び物にする、売り物にする、特集する
 finding[名],発見、調査結果
 flashlight[名],懐中電灯
 flatter[動],お世辞を言う、お世辞を言う、実物以上によく見せる
 flier[名],チラシ
 flyer[名],チラシ
 foggy[形],霧のかかった、霧の深い
 formally[副],正式に、フォーマルに
 forth[副],前へ
 fortune[名],富、財産、幸運
 frank[形],率直な
 frustrate[動],イライラさせる、失望させる
 fur[名],毛皮
 gear[名],用具、道具
 generous[形],寛容な、気前の良い
 glance[動],ちらりと見る
 glimpse[名],ちらりと見ること
 globe[名],球体、地球
 goods[名],品物、商品、財、財産
 gorgeous[形],見事な、豪華な
 greatly[副],非常に、大いに
 guideline[名],（複数形で）指針、ガイドライン
 hammer[動],打ち付ける
 head[動],導く、率いる、先頭に立つ
 headquarters[名],本部、本社、司令部
