abrupt[形],突然の、唐突な,,,,,,,,
 abstract[形],抽象的な,,,,,,,,
 acclaimed[形],評価された、絶賛された,,,,,,,,
 accommodate[動],（ホテル/施設が）～を収容する、収容能力がある,,,,,,,,
 accordance[名],合致、一致、調和,,,,,,,,
 accumulate[動],蓄積する、積み上げる,,,,,,,,
 ache[名],痛み,,,,,,,,
 addict[名],(薬物の)中毒者、常用者,,,,,,,,
 administrative[形],管理の,,,,,,,,
 advancement[名],前進、進歩、昇進,,,,,,,,
 adverse[形],有害な、不利な、敵対する、逆方向の,,,,,,,,
 advocate[名],提唱者、支持者、弁護人,,,,,,,,
 allergy[名],アレルギー,,,,,,,,
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる,,,,,,,,
 ambulance[名],救急車,,,,,,,,
 analyst[名],アナリスト、分析者,,,,,,,,
 angrily[副],怒って、憤慨して,,,,,,,,
 ankle[名],足首、くるぶし,,,,,,,,
 anxiously[副],心配して、切望して,,,,,,,,
 applause[名],拍手喝采、賞賛,,,,,,,,
 appliance[名],（家庭用の）器具、電化製品,,,,,,,,
 architectural[形],建築上の,,,,,,,,
 archive[名],公文書、記録、記録保管所,,,,,,,,
 arouse[動],喚起する、かき立てる,,,,,,,,
 aspirin[名],鎮痛剤,,,,,,,,
 auditor[名],（大学の）聴講生、会計検査官,,,,,,,,
 autograph[名],サイン、自筆,,,,,,,,
 banquet[名],夕食会、晩さん会、宴会,,,,,,,,
 barefoot[形],裸足の,,,,,,,,
 blank[名],余白、空欄,,,,,,,,
 blaze[名],炎、火炎,,,,,,,,
 blessing[名],ありがたいもの、（天の）恵み,,,,,,,,
 botanical[形],植物の、植物学の,,,,,,,,
 bribe[動],買収する、賄賂を贈る,,,,,,,,
 brochure[名],小冊子、パンフレット,,,,,,,,
 bug[名],虫,,,,,,,,
 bully[動],いじめる,,,,,,,,
 bureaucrat[名],官僚,,,,,,,,
 campaign[名],選挙戦、選挙遊説、軍事行動,,,,,,,,
 canal[名],運河、用水路,,,,,,,,
 carbon dioxide[名],二酸化炭素,,,,,,,,
 cartoon[名],マンガ,,,,,,,,
 catastrophe[名],破滅的状況、大惨事、大災害,,,,,,,,
 catering[名],仕出し、出前、ケータリング,,,,,,,,
 cathedral[名],大聖堂,,,,,,,,
 cause[名],目標、大義,,,,,,,,
 cautiously[副],用心深く、警戒して、慎重に,,,,,,,,
 certificate[名],免許状、証明書,,,,,,,,
 charge[動],非難する、告発する,,,,,,,,
 cheek[名],頬,,,,,,,,
 circulation[名],循環、流通、発行部数、（図書の）貸し出し（部数）,,,,,,,,
 clarify[動],明らかにする,,,,,,,,
 clarity[名],明快さ、平明,,,,,,,,
 commend[動],ほめる、推奨する,,,,,,,,
 committed[形],熱心に取り組む、献身的な,,,,,,,,
 compartment[名],（仕切った）一区画,,,,,,,,
 competent[形],能力のある、適格な、満足な,,,,,,,,
 complement[動],補完する,,,,,,,,
 complex[名],複合体、複合施設、総合ビル,,,,,,,,
 compliment[名],賛辞、お世辞、褒め言葉,,,,,,,,
 comply[動],（規則などに）従う,,,,,,,,
 confess[動],告白する,,,,,,,,
 conform[動],（規則などに）従う、一致する,,,,,,,,
 conquer[動],征服する,,,,,,,,
 conscience[名],良心、分別,,,,,,,,
 consensus[名],合意、意見の一致,,,,,,,,
 conservation[名],保護、保存,,,,,,,,
 consolidate[動],強固にする、統合する,,,,,,,,
 constraint[名],束縛、制約,,,,,,,,
 consultation[名],相談、診察を受けること,,,,,,,,
 contain[動],抑え込む、制御する,,,,,,,,
 contempt[名],軽蔑,,,,,,,,
 contractor[名],請負業者、制約業者,,,,,,,,
 conveniently[副],便利に、都合よく,,,,,,,,
 convey[動],運ぶ、伝える,,,,,,,,
 cool[形],スゴイ、かっこいい、すばらしい,,,,,,,,
 coordinate[動],協調させる、調整する,,,,,,,,
 corruption[名],汚職、腐敗、不正,,,,,,,,
 count[動],重要である,,,,,,,,
 countless[形],無数の、数え切れない,,,,,,,,
 courteous[形],礼儀正しい、丁重な,,,,,,,,
 courtesy[名],礼儀,,,,,,,,
 creek[名],小川,,,,,,,,
 criteria[名],（判断の）基準,,,,,,,,
 crude[形],天然の、未精製の、粗雑な,,,,,,,,
 curb[動],抑える、抑制する,,,,,,,,
 custom[形],客の注文に応じた、あつらえの,,,,,,,,
 customize[動],～を特別仕様にする、特注生産する,,,,,,,,
 decent[形],そこそこの、まともな、上品な,,,,,,,,
 decorative[形],装飾用、装飾的な,,,,,,,,
 dedicate[動],捧げる、献身する,,,,,,,,
 dedicated[形],献身的な,,,,,,,,
 dedication[名],献身、専念、（本などの）献辞,,,,,,,,
 definitive[形],最終的な、決定的な、完成した,,,,,,,,
 deplete[動],（資源などを）消耗する、使い果たす,,,,,,,,
 descent[名],降下、家系、血統,,,,,,,,
 designated[形],指定された、指名された,,,,,,,,
 detach[動],引き離す、はずす,,,,,,,,
 deteriorate[動],悪化する、悪化させる,,,,,,,,
 developing country[名],発展途上国,,,,,,,,
devise[動],考案する、考えだす,知ってる,2020/6/27,2,,,,,
 diagnosis[名],診断、分析,知ってる,2020/5/29,1,,,,,
 dim[形],弱い、薄暗い、ぼんやりした,知ってる,2020/5/31,,,,,,
 dimension[名],側面、特質、次元,知ってる,2020/7/1,,,,,,
 diminish[動],減らす、小さくする,知ってる,2020/5/24,,,,,,
 discontinue[動],打ち切る、中止する,知ってる,2020/7/1,,,,,,
 discreet[形],思慮分別のある、慎重な,知ってる,2020/5/29,,,,,,
 discrimination[名],差別,知ってる,2020/5/26,1,,,,,
 disgusting[形],ぞっとするような、むかむかさせる,知ってる,2020/5/24,,,,,,
 dishwasher[名],食器洗浄機,知ってる,2020/7/1,,,,,,
 disposal[名],処分、処理、売却,知ってる,2020/5/31,,,,,,
 distinct[形],明らかに異なる、独特の,知ってる,2020/5/28,,,,,,
 dominant[形],支配的な、優勢の,知ってる,2020/5/28,,,,,,
 durability[名],耐久性（力）,知ってる,2020/5/24,,,,,,
 dye[動],染める,知ってる,2020/5/31,,,,,,
 ease[動],緩和する、楽にする、安心させる,知ってる,2020/7/1,,,,,,
 editorial[形],編集の、(新聞などの)社説の,知ってる,2020/5/31,,,,,,
 electronics[名],エレクトロニクス（産業）、電子工学,知ってる,2020/7/1,,,,,,
 eligible[形],適格な、資格がある,知ってる,2020/5/29,1,,,,,
 embrace[動],抱擁する、（考えなどを）受け入れる、（中に）含む,知ってる,2020/5/27,,,,,,
 emission[名],放出、排出,知ってる,2020/5/29,1,,,,,
 empower[動],力をつける、権限を与える、自信を持たせる,知ってる,2020/6/25,,,,,,
 enclose[動],囲む、同封する,知ってる,2020/6/1,1,,,,,
 encyclopedia[名],百科事典,知ってる,2020/5/24,,,,,,
 endangered species[名],絶滅危惧種,知ってる,2020/5/31,,,,,,
 endangered[形],絶滅寸前の、絶滅の危機にひんした,知ってる,2020/5/25,,,,,,
 energy-efficient[形],エネルギー効率のよい,知ってる,2020/7/1,,,,,,
 entrepreneur[名],起業家、事業家,知ってる,2020/5/28,,,,,,
 equip[動],備え付ける、装備させる,知ってる,2020/5/24,,,,,,
 erect[動],建てる、直立させる,知ってる,2020/5/29,2,,,,,
 erupt[動],爆発する、噴火する,知ってる,2020/5/28,,,,,,
 evacuate[動],避難させる、立ち退かせる,知ってる,2020/7/1,,,,,,
 exceptionally[副],並外れて、非常に,知ってる,2020/7/1,1,,,,,
 excerpt[名],引用、抜粋,知ってる,2020/6/1,4,,,,,
 exclaim[動],叫ぶ,知ってる,2020/5/28,,,,,,
 exclusive[形],排他的な、独占的な,知ってる,2020/5/29,1,,,,,
 execution[名],実行,知ってる,2020/7/1,,,,,,
 exert[動],（影響などを）及ぼす,知ってる,2020/6/1,5,,,,,
 expertise[名],専門的知識、専門技術,知ってる,2020/5/31,,,,,,
 expire[動],期限切れになる、息をひきとる,知ってる,2020/5/29,,,,,,
 exquisite[形],優美な、精緻な、洗練された,知ってる,2020/5/28,,,,,,
 extended[形],長期の、広範囲にわたる,知ってる,2020/5/31,,,,,,
 extinction[名],絶滅、消滅,知ってる,2020/5/31,,,,,,
 fabulous[形],素晴らしい,知ってる,2020/5/29,3,,,,,
 faculty[名],（大学の）教授陣、学部,知ってる,2020/6/1,1,,,,,
 faint[形],かすかな,知ってる,2020/6/26,1,,,,,
 fatal[形],致命的な、命にかかわる,知ってる,2020/5/29,,,,,,
 favorably[副],好意をもって,知ってる,2020/7/1,,,,,,
 feat[名],業績、功績,知ってる,2020/5/25,,,,,,
 feeder[名],飼育家,知ってる,2020/7/1,,,,,,
 fertile[形],（土地などが）肥沃な,知ってる,2020/6/1,1,,,,,
 fine[形],（糸、線などが）細い、薄い,知ってる,2020/5/26,4,,,,,
 flaw[名],欠陥、不具合、不備,知ってる,2020/5/28,,,,,,
 flightless[形],飛べない,知ってる,2020/7/1,,,,,,
 folks[名],家族、両親,知ってる,2020/6/1,3,,,,,
 fragment[名],かけら、断片、破片,知ってる,2020/5/21,,,,,,
 fridge[名],冷蔵庫,知ってる,2020/5/28,,,,,,
 fuel[動],煽る、助長する、増大させる,知ってる,2020/6/25,1,,,,,
 furnished[形],家具付きの,知ってる,2020/7/1,,,,,,
 fuss[名],大騒ぎ,知ってる,2020/5/26,4,,,,,
 gauge[名],計器,知ってる,2020/5/31,,,,,,
 genetic[形],遺伝的な、遺伝子の,知ってる,2020/5/28,,,,,,
 geographic[形],地理的な,知ってる,2020/5/24,,,,,,
 geometry[名],幾何学,知ってる,2020/5/28,,,,,,
 gigantic[形],巨大な,知ってる,2020/5/29,1,,,,,
 given[前],～を仮定（考慮）すれば,知ってる,2020/6/27,,,,,,
 glory[名],栄光、誇り、名声,知ってる,2020/5/28,,,,,,
 goodwill[名],親善、友好、善意,知ってる,2020/5/26,1,,,,,
 gourmet[名],グルメ、食通,知ってる,2020/7/1,,,,,,
 handling[名],取り扱い,知ってる,2020/7/1,1,,,,,
 handout[名],配布資料、プリント,知ってる,2020/6/25,,,,,,
 hardship[名],苦難、困窮,知ってる,2020/5/21,,,,,,
 hazardous[形],（化学物質などが）（人体に）有害な,知ってる,2020/5/27,,,,,,
 holding[名],所有者、持ち株,知ってる,2020/5/26,1,,,,,
 hostage[名],人質,知ってる,2020/6/1,2,,,,,
 house[動],保有する、所蔵する、収容する,知ってる,2020/7/1,,,,,,
 hypocrisy[名],偽善,知ってる,2020/5/24,,,,,,
 hypothesis[名],仮説、仮定,知ってる,2020/5/31,,,,,,
 imaginable[形],想像できる,知ってる,2020/5/25,,,,,,
 inaccurate[形],不正確な,知ってる,2020/6/25,,,,,,
 Inc.[形],（会社などが）法人組織の,知ってる,2020/7/1,,,,,,
 incur[動],（損害などを）被る、負う、招く,知ってる,2020/6/1,1,,,,,
 indicator[名],指標,知らない,2020/7/1,2,,,,,
 indifferent[形],無関心な,知ってる,2020/5/29,1,,,,,
 informative[形],有益な、情報を得ることができる,知ってる,2020/5/31,,,,,,
 infrastructure[名],経済基盤、社会基盤,知ってる,2020/5/24,,,,,,
 ingenious[形],巧妙な、独創的な,知ってる,2020/5/28,,,,,,
 innovative[形],革新的な、画期的な,知ってる,2020/6/26,,,,,,
 inspiring[形],やる気が出るような、活気つける,知ってる,2020/7/1,,,,,,
 institute[動],（法律、制度を）制定する、実施する,知ってる,2020/5/29,1,,,,,
 institute[名],（芸術、理工系の）学校、研究機関,知ってる,2020/5/21,,,,,,
 instrumental[形],重要な役割を果たす、役立つ、器楽の,知ってる,2020/5/31,,,,,,
 intact[形],無傷の、完全な姿の、手をつけられていない,知ってる,2020/6/1,2,,,,,
 integrity[名],誠実、高潔、正直さ,知ってる,2020/5/26,1,,,,,
 intern[名],実習生、インターン,知ってる,2020/7/1,,,,,,
 intersection[名],交差点,知ってる,2020/5/24,,,,,,
 intriguing[形],興味深い、興味をそそる,知ってる,2020/5/26,2,,,,,
 introductory[形],紹介の、導入の、入門的な,知ってる,2020/7/1,,,,,,
 intrude[動],侵害（侵入）する,知ってる,2020/5/31,,,,,,
 ironic[形],皮肉な,,,,,,,,
 irrelevant[形],無関係の、見当違いの、重要でない,知ってる,2020/5/31,,,,,,
 ivy[名],ツタ,知ってる,2020/7/1,,,,,,
 kidnapping[名],誘拐,知ってる,2020/5/31,,,,,,
 kneel[動],ひざまずく,知ってる,2020/7/1,,,,,,
 lace[名],ひも、靴ひも、レース,知ってる,2020/7/1,,,,,,
 lid[名],（容器の）ふた,知ってる,2020/5/29,,,,,,
 lighthouse[名],灯台,知ってる,2020/5/28,,,,,,
 lighting[名],照明,知ってる,2020/10/29,,1,,,,
 loud[形],（服、色などが）けばけばしい、派手な,知ってる,2020/5/26,1,,,,,
 loyalty[名],忠誠、忠義、愛顧,知ってる,2020/5/21,,,,,,
 luxurious[形],ぜいたくな、高級な,知ってる,2020/6/25,,,,,,
 managerial[形],管理職の、経営上の,知ってる,2020/6/25,,,,,,
 mansion[名],大邸宅,知ってる,2020/7/1,1,,,,,
 manuscript[名],原稿,知ってる,2020/5/24,,,,,,
 maximize[動],最大にする,知ってる,2020/6/25,,,,,,
 memoir[名],回想録、伝記,知ってる,2020/7/1,1,,,,,
 memorandum[名],社内文書,知ってる,2020/7/1,1,,,,,
 Middle Ages[名],（the -）中世,知ってる,2020/5/28,,,,,,
 minimize[動],最小限にする,知ってる,2020/6/26,,,,,,
 misleading[形],誤解を招く、誤解を招きやすい,知ってる,2020/7/1,,,,,,
 misplace[動],置き忘れる、置き違える,知ってる,2020/7/1,,,,,,
 misread[動],読み違える、誤解する,知ってる,2020/7/1,,,,,,
 modernization[名],近代（現代）化,知ってる,2020/5/31,,,,,,
 momentum[名],勢い、機運、運動量,知ってる,2020/5/29,1,,,,,
 monopoly[名],独占、専売,知ってる,2020/5/29,,,,,,
 mortgage[名],住宅ローン、抵当、担保,知ってる,2020/5/26,2,,,,,
 multimedia[名],マルチメディア,知ってる,2020/6/27,,,,,,
 multinational[形],多国籍の,知ってる,2020/6/25,,,,,,
 mutually[副],相互に,知ってる,2020/6/27,,,,,,
 myth[名],神話、作り話、虚構,知ってる,2020/5/28,,,,,,
 narrowly[副],狭く、かろうじて,知ってる,2020/5/24,,,,,,
 nasal[形],鼻の,知ってる,2020/7/1,,,,,,
 negligence[名],怠慢、手抜き、過失,知ってる,2020/5/29,,,,,,
 newlywed[名],新婚の人,知ってる,2020/7/1,,,,,,
 norm[名],規範、典型,知ってる,2020/5/28,,,,,,
 notify[動],知らせる,知ってる,2020/6/25,,,,,,
 notorious[形],悪名高い,知ってる,2020/6/1,2,,,,,
 numerical[形],数字で表した、数の,知ってる,2020/7/1,,,,,,
 obstinate[形],頑固な、強情な,知ってる,2020/5/26,3,,,,,
 occupational[形],職業の、職業的な,知ってる,2020/5/26,1,,,,,
 off-site[副],現場から離れて,知ってる,2020/7/1,,,,,,
 oppression[名],圧迫、抑圧,知ってる,2020/5/31,,,,,,
 ordeal[名],苦しい試練,知ってる,2020/5/26,1,,,,,
 organ[名],臓器、器官,知ってる,2020/5/25,,,,,,
 ornamental[形],装飾用の,知ってる,2020/5/26,3,,,,,
 orphan[名],孤児,知ってる,2020/5/29,,,,,,
 outbound[形],外国行きの、市外へ向かう、外部への,知ってる,2020/7/1,,,,,,
 outdated[形],時代遅れの,知ってる,2020/5/25,,,,,,
 outer[形],外の、外側の,知ってる,2020/5/25,,,,,,
 outfit[名],服装、衣装,知ってる,2020/6/1,1,,,,,
 overdue[形],期日が過ぎた、期限切れの,知ってる,2020/7/1,,,,,,
 overview[名],概略、概況,知ってる,2020/7/1,,,,,,
 panel[名],委員団、審査員団,知ってる,2020/6/26,,,,,,
 paperwork[名],事務処理、書類仕事,知ってる,2020/6/27,,,,,,
 paralyze[動],麻痺させる,知ってる,2020/5/29,2,,,,,
 patio[名],テラス,知ってる,2020/7/1,1,,,,,
 perishable[形],痛みやすい、腐りやすい,知ってる,2020/7/1,,,,,,
 perseverance[名],忍耐、辛抱、不屈の精神,知ってる,2020/5/29,,,,,,
 personalize[動],名入れする、特注する,知ってる,2020/7/1,,,,,,
 pest[名],害虫、疫病,知ってる,2020/5/31,,,,,,
 photocopier[名],コピー機,知ってる,2020/7/1,,,,,,
 physician[名],内科医,知ってる,2020/5/28,,,,,,
 pickup[名],集荷、集めること、受け取り、引き取り,知ってる,2020/7/1,,,,,,
 picturesque[形],（景色などが）絵のように美しい,知ってる,2020/6/26,1,,,,,
 pier[名],埠頭、桟橋,知ってる,2020/5/28,,,,,,
 plead[動],嘆願する、懇願する,知ってる,2020/5/27,,,,,,
 plentifully[副],豊富に、たくさん,知ってる,2020/7/1,,,,,,
 plunge[動],飛び込む、突っ込む,知ってる,2020/6/1,3,,,,,
 poison[名],毒、毒物,知ってる,2020/5/24,,,,,,
 poll[名],世論調査,知ってる,2020/5/31,,,,,,
 populate[動],住む、住み着く,知ってる,2020/5/24,,,,,,
 postwar[形],戦後の,知ってる,2020/10/29,1,1,,,,
 precaution[名],用心、予防措置,知ってる,2020/5/31,,,,,,
 precision[名],正確、精密、精度,知ってる,2020/5/24,,,,,,
 premier[形],最高の、第1位の,知ってる,2020/6/27,,,,,,
 premise[名],前提、基調,知ってる,2020/5/31,,,,,,
 premium[名],保険料、割増料金,知ってる,2020/6/26,,,,,,
 prescription[名],処方箋、処方薬、処方,知ってる,2020/5/31,,,,,,
 privilege[名],特権、特典,知ってる,2020/5/29,2,,,,,
 produce[名],農産物,知ってる,2020/6/26,,,,,,
 productivity[名],生産性,知ってる,2020/5/29,,,,,,
 profile[動],輪郭を描く、人物紹介する、プロファイリングする,知ってる,2020/7/1,,,,,,
 prolonged[形],長期の、長期にわたる、長引く,知ってる,2020/5/29,1,,,,,
 prominently[副],目立って、傑出して,知ってる,2020/7/1,,,,,,
 proofread[動],校正する,知ってる,2020/6/26,1,,,,,
 prototype[名],模範、原型、試作品,知ってる,2020/5/24,,,,,,
 quarterly[副],年4回、毎季,知ってる,2020/7/1,,,,,,
 questionnaire[名],質問票、アンケート,知ってる,2020/5/28,,,,,,
 quota[名],割り当て、分担、定員、定数,知ってる,2020/5/26,1,,,,,
 rainwater[名],雨水,知ってる,2020/7/1,,,,,,
 raise[動],（資金など）を集める、募る,知ってる,2020/6/1,3,,,,,
 rate[名],料金,知ってる,2020/7/1,,,,,,
 recollect[動],思い出す、回想する,知ってる,2020/7/1,,,,,,
 reconcile[動],調和させる、和解させる,知ってる,2020/6/1,3,,,,,
 refrigeration[名],冷却,知ってる,2020/7/1,,,,,,
 refund[動],払い戻す,知ってる,2020/7/1,,,,,,
 regime[名],（政治の）体制、（強圧的な）政権,知ってる,2020/6/1,1,,,,,
 reheat[動],再加熱する,知ってる,2020/7/1,,,,,,
 relevance[名],（検討中の課題などとの）関連（性）,知ってる,2020/6/26,3,,,,,
 relocate[動],移転させる、引っ越す,,,,,,,,
 remodel[動],改造する、リフォームする,知ってる,2020/6/27,1,,,,,
 renowned[形],有名な、著名な,知ってる,2020/5/29,1,,,,,
 reorganization[名],組織替え、業務再編,知ってる,2020/7/1,,,,,,
 respective[形],それぞれの,知ってる,2020/5/24,,,,,,
 respectively[副],それぞれ,知ってる,2020/6/26,1,,,,,
 resume[名],要約、レジュメ、履歴書,知ってる,2020/5/28,,,,,,
 retrieve[動],回収する、取ってくる、検索する,知ってる,2020/6/1,1,,,,,
 ritual[名],儀式,知ってる,2020/5/24,,,,,,
 rusty[形],さびた,知ってる,2020/5/24,,,,,,
 safeguard[動],保護する、守る,知ってる,2020/7/1,,,,,,
 savory[形],食欲をそそる、味の良い,知ってる,2020/5/26,1,,,,,
 self-confident[形],（自分（の能力など）に）自信がある,知ってる,2020/5/29,,,,,,
 selfish[形],利己的な、自己中心的な,知ってる,2020/5/28,,,,,,
 semester[名],学期、半期,知ってる,2020/10/29,,1,,,,
 shabby[形],みすぼらしい、ぼろぼろの,知ってる,2020/5/28,,,,,,
 sheer[形],まったくの、真の,知ってる,2020/5/29,2,,,,,
 showcase[名],陳列ケース,知ってる,2020/7/1,,,,,,
 showtime[名],（映画などの）開始時間、ショータイム,知ってる,2020/7/1,,,,,,
 shuttle[名],（飛行機、バスなどの）往復便,知ってる,2020/5/31,,,,,,
 simultaneously[副],同時に,知ってる,2020/5/31,,,,,,
 snore[動],いびきをかく,知ってる,2020/7/1,,,,,,
 sociable[形],社交的な,知ってる,2020/5/28,,,,,,
 socialist[名],社会主義者,知ってる,2020/5/31,,,,,,
 society[名],協会,知ってる,2020/7/1,2,,,,,
 solemn[形],厳粛な,知ってる,2020/5/31,,,,,,
 sound[副],（眠りが）深く,知ってる,2020/5/29,4,,,,,
 spacious[形],広々とした、ゆったりした,知ってる,2020/6/25,2,,,,,
 specification[名],仕様（書）,知ってる,2020/6/26,,,,,,
 spell[名],呪文,知ってる,2020/5/31,,,,,,
 sphere[名],領域、範囲,知ってる,2020/5/21,,,,,,
 stapler[名],ホッチキス,知ってる,2020/7/1,1,,,,,
 step-by-step[形],段階的な,知ってる,2020/7/1,,,,,,
 sticker[名],刺す人、ステッカー,知ってる,2020/7/1,,,,,,
 stockholder[名],株主,知ってる,2020/7/1,,,,,,
 strand[動],立ち往生させる、（船を）座礁させる,知ってる,2020/5/29,,,,,,
 striped[形],しまの入った、ストライプ入りの,知ってる,2020/6/27,1,,,,,
 subsidiary[名],子会社,知ってる,2020/6/1,1,,,,,
 summary[名],要約,知ってる,2020/5/28,,,,,,
 supervise[動],監督する,知ってる,2020/5/31,,,,,,
 supplement[名],栄養補助剤,知ってる,2020/5/28,,,,,,
 supplies[名],生活必需品、（コンピューター）関連商品、～用品,知ってる,2020/7/1,,,,,,
 surpass[動],～を上回る、～に優る、超える,知ってる,2020/10/29,1,1,,,,
 swear[動],ののしる、悪態をつく,知ってる,2020/5/24,,,,,,
 sweatshirt[名],スウェット、トレーナー,知ってる,2020/5/31,,,,,,
 tabloid[名],タブロイド判新聞,知ってる,2020/5/31,,,,,,
 temper[名],（かっとなる）気質、気性,知ってる,2020/5/24,,,,,,
 temporarily[副],一時的に,知ってる,2020/7/1,,,,,,
 tentative[形],仮の、暫定的な、不確かな,知ってる,2020/5/26,8,,,,,
 term[名],（契約の）条項、条件,知ってる,2020/7/1,,,,,,
 terminate[動],終わらせる、やめる、首にする,知ってる,2020/5/28,,,,,,
 testimony[名],証言,知ってる,2020/5/26,2,,,,,
 textile[名],織物、布地,知ってる,2020/5/24,,,,,,
 thereby[副],それによって、その結果,知ってる,2020/6/26,,,,,,
 thesis[名],論文、主題,知ってる,2020/10/29,,1,,,,
 thriving[形],（事業などが）繁栄している、繁盛している,知ってる,2020/5/28,,,,,,
 time-consuming[形],時間を食う、時間のかかる,知ってる,2020/6/26,,,,,,
 trainee[名],研修生、訓練を受ける人,知ってる,2020/5/29,1,,,,,
 transaction[名],（商）取引,知ってる,2020/5/28,,,,,,
 transplant[名],移植,知ってる,2020/5/25,,,,,,
 tribute[名],賛辞、貢ぎ物,知ってる,2020/5/28,,,,,,
