abbreviate[動],（言葉などを）短縮する、省略する
 abdominal[形],腹部の、腹腔の
 abide[動],（～に）従う、順守する
 abridged[形],要約された、短縮された
 abundant[形],豊富な、十分な
 acquainted[形],（～と）知り合いである（with ～）
 activation[名],活動的にすること、有効化
 adaptable[形],適応できる、順応性のある
 additive[名],（食品などの）添加物
 adhere[動],固執する、くっつく、順守する
 adjacent[形],近くの、（～に）隣接した (to ～)
 admittance[名],入場許可
 adopt[動],養子にする
 adversity[名],逆境、災難、不運
 advertiser[名],広告主
 affiliation[名],提携、加入
 affluent[形],裕福な、豊富な
 affordably[副],手ごろに
 aggravate[動],悪化させる、深刻にする
 airfare[名],航空運賃
 allergic[形],アレルギー性の、アレルギー体質の
 alleviate[動],（苦痛などを）軽減する、和らげる
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 Antarctic[名],南極
 anthropologist[名],人類学者
 ape[名],（ゴリラ、チンパンジーなどの）類人猿
 applicable[形],適用される
 appraisal[名],査定、評価
 apprentice[名],見習い、実習生
 aristocrat[名],貴族
 artful[形],巧妙な
 artisan[名],職人、熟練工
 assortment[名],詰め合わせ、寄せ集め
 assuredly[副],確かに、確信して
 asthma[名],ぜんそく
 astound[動],仰天させる、がくぜんとさせる
 attendee[名],出席者
 attire[名],服装
 avid[形],熱心な、熱烈な
 beggar[名],物乞い、貧者
 belongings[名],持ち物、所有品
 beneficiary[名],（保険、年金など）受取人、恩恵を受ける人
 beverage[名],飲み物、飲料
 biased[形],偏見のある、先入観を持った
 bilateral[形],双方の、双方向の、２国間の
 bill[動],～に請求する、～に請求書を送る
 blotch[名],大きなしみ、汚れ
 borrowing[名],借金、借用
 brittle[形],もろい
 brose[動],（特に買う気もなく店内を）見て回る
 buck[名],ドル
 buskin[名],バスキン（特殊な皮の編み上げブーツ）
 candidly[副],率直に
 carbonation[名],炭酸化
 carpentry[名],大工仕事
 Celsius[名],摂氏
 centerpiece[名],(テーブル等の)中央部の装飾
 chairwoman[名],女性の議長、女性の会長
 charitable[形],慈善の、気前が良い
 chore[名],雑用
 chuckle[動],くすくす笑う
 clerical[形],事務の、事務職の
 co-worker[名],同僚、協力者
 commence[動],開始する
 common[名],共有地、公有地、広場
 compliance[名],追従、順守
