(be) adept at ～,～に熟練した
(be) attuned to ～,～に順応した、調和した、波長が合った
a spate of ～,相次ぐ/一連の/多数の～
 abate[動],和らぐ、治まる、少なくなる
 abdicate[動],（地位、権利などを）放棄する、退位する
 aberration[名],異常、常軌を逸すること
 abject[形],悲惨な、みじめな
 abominable[形],嫌悪感を引き起こす、言語道断な
 abomination[名],嫌悪を引き起こすもの、嫌悪の対象
 aboveboard[形],公明正大な
 abrasive[形],いらいらさせる、不快な、耳障りな、(表面が）ざらさらした
 abridged[形],要約された、短縮された
 abrogate[動],破棄する、廃止する
 abruptly[副],不意に、突然
 abscond[動],逃げる、逃亡する、姿をくらます
absolve ～ of/from …,～を …の罪（責任）から無罪放免する
 absolve[動],～が無実であると認める
 abstention[名],自制、(投票の）棄権
 abstinence[名],節制、禁欲
 absurdity[名],不合理、不条理、ばかげた行為
 abundance[名],豊富さ、大量、豊富なこと
 abuse[動],乱用する、虐待する
 abyss[名],溝、深淵
accede to ～,～に同意する/従う/加盟する、～を受け継ぐ
 accelerate[動],加速させる、促進する
 accentuate[動],を際立たせる、強調する
 acclaim[動],賞賛する
 acclaim[名],大かっさい、賞賛
 accomplice[名],共犯者
 accost[動],近づいて声をかける
 accreditation[名],認可、公認、認定
 accrue[動],（利益などが）生じる、増加する
 accusation[名],告発
 acolyte[名],従者、信奉者、助手
acquiesce in/to ～,～を黙認する、～に（不本意ながら）同意する
 acrimony[名],(口調などの）とげとげしさ、辛辣さ
 acute[形],（痛みが）鋭い、急性の、(事態が）深刻な、重大な
 adamant[形],決意の固い、断固とした
 addendum[名],補遺、付録
 addictive[形],中毒性のある、習慣性のある
 address[動],～（問題など）に取り組む/対処する、～（問題など）を取り扱う
 adequate[形],十分な、適切な
 adherent[名],支持者、信奉者
 adjacent[形],近くの、（～に）隣接した (to ～)
 adjourn[動],（会議などを）中断する、一時休止する
 adjudicate[動],（～（事件など）を）裁く (on ～)
 adjunct[形],非常勤の、補助の、（～に）付属の (to ～)
 administer[動],管理する、運営する
 admonish[動],～に忠告する、～を諭す
 adolescent[形],青年期の、思春期の
 adorn[動],を（～で）飾る、装飾する
 adorn[動],（…で）～を飾る、装飾する (with …)
 adroit[形],巧みな、器用な、機敏な、気の利いた
 adulation[名],お世辞、へつらい、極端な賞賛、お世辞、追従
 advent[名],出現、到来
 adversarial[形],敵対的な
 advocate[名],提唱者、支持者、弁護人
 aesthetically[形],美的に、美的観点から
 affability[名],愛想の良さ
 affiliation[名],提携、加入
 affinity[名],親近感、共感、類似性
 affix[動],添付する、添える
 affliction[名],苦痛、苦難
 affluent[形],裕福な、豊富な
 agape[形],（口を）ぽかん／大きくと開けた
 agenda[名],議事、議題、議事日程
 aggravate[動],悪化させる、悩ませる
 agility[名],敏捷性、機敏さ
 agitate[動],扇動する、動揺させる
 agnostic[形],不可知論の、不可知論的な
 agrarian[形],農地の、農業の、農民の
 ailment[名],（慢性的な）病気、不快
 alacrity[名],機敏さ、敏捷さ
 albeit[接],～とはいえ、たとえ～といえども
 alienate[動],遠ざける、無視する、疎外する
 alienation[名],疎外すること、疎外感、疎遠
 alignment[名],整列、連携
 allegedly[副],申し立てによると、伝えられるところによると
 alleviate[動],（苦痛などを）軽減する、和らげる
 alliance[名],同盟、提携
 allocate[動],割り当てる、配分する
 allude[動],ほのめかす、暗に示す
 aloof[形],よそよそしい、親しみのない、距離を置いた
 amass[動],蓄積する、集める
 ambient[形],周囲の、環境の
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる
 ambivalence[名],相反する感情、ためらい
 ambivalent[形],どっちつかずの気持ちを抱いている、どちらか決めかねている
 ambush[動],待ち伏せて急襲する
 ambush[名],待ち伏せ、奇襲
 ameliorate[動],改善する
 amenable[形],従順な
 amend[動],（法律などを）修正する
 amendment[名],改正、修正、修正条項
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 amicable[形],友好的な
 amid[前],～のただ中に、～の真ん中に
 amity[名],友好、親善
 ammunition[名],弾丸、弾薬、論拠となる情報
 amnesty[名],恩赦
ample[形],豊富な、十分すぎるほどの
 amplify[動],詳しく述べる
 anachronism[名],時代錯誤、時代遅れ（の人/物）
 analogous[形],類似した
 anatomy[名],（生物の）生体構造、解剖学的構造、組織
 anemic[形],貧血（症）の、元気のない、無気力な
 angst[名],不安、懸念
 animosity[名],敵意、憎悪
 annex[動],併合する、付け加える
 annihilate[動],全滅させる、完全に破壊する
 annihilation[名],絶滅、せん滅
 annotate[動],（本などに）注釈をつける
 annotation[名],注釈
 annulment[名],取り消し、無効の宣告
 anoint[動],指名する
 anoint[動],軟膏を塗る
 anomaly[名],異例な物（人）、破格、例外
 anonymous[形],匿名の
 antagonistic[形],敵対する、対立する
 antagonize[動],～の反感を買う、～を苛立たせる
 antibiotic[名],抗生物質
 antipathy[名],嫌悪、反感
 apathetic[形],無関心な、感情のない、冷淡な
 apathy[名],無感動、無関心
 apex[名],頂点、頂上、先端
 appalled[形],唖然としている、愕然としている
 appease[動],なだめる、鎮める、和らげる
 append[動],つけ加える、付け足す
 appraise[動],評価する、値を付ける
 apprehend[動],逮捕する
 aptitude[名],才能、適性
 arbitrary[形],任意の、恣意的な、気まぐれな
 arbitrate[動],仲裁する
 archaeologist[名],考古学者
 archaic[形],古語の、古めかしい、古代の
 archipelago[名],群島、諸島
 ardor[名],熱心、熱意
 arduous[形],骨の折れる、難儀な、つらい
 arid[形],乾燥した、不毛の、（話などが）つまらない
 array[名],配列、隊列
 arrears[名],滞納金、未払い金
 arrogant[形],横柄な、無礼な、傲慢な
 articulate[形],(人が）明瞭に話す能力がある、はっきりと発音された、(意味などが）はっきりと伝わる
 artifact[名],人工物、工芸品、加工品、人工遺物
 ascension[名],上昇、即位
 ascetic[形],禁欲的な、禁欲主義の
 askew[形],斜めに、傾いて、間違って
 assail[動],襲撃する、責め立てる、悩ませる
 assault[動],暴行する、襲撃する
 assertive[形],断言的な、断定的な
 assessment[名],評価、査定、（環境などの）アセスメント
 asset[名],資産、財産
 assiduous[形],根気強い
 assimilate[動],同化する、吸収する
 assuage[動],（苦痛・不安などを）和らげる、緩和する
 astound[動],仰天させる、がくぜんとさせる
 asylum[名],亡命、庇護、保護施設
 atrocity[名],残虐、非道、残虐行為
 attenuate[動],低くする、弱める
 attic[名],屋根裏部屋
 attire[名],服装
attribute ～ to …,～の原因を…に帰する
 attribute[名],特性、属性
 attrition[名],（人員などの）自然減、磨滅、消耗
 auditorium[名],講堂、大講義室、公会堂
 augment[動],（～を）増やす、増補する
 auspice[名],保護、援助、後援
 austere[形],厳粛な、簡素な、質素な
 authentic[形],真正な、本物の
 authoritative[形],権威のある、信頼できる
 autism[名],自閉症
 autonomy[名],自治、自治権、自主性
 autopsy[名],検死
 auxiliary[形],補助の、付加的な、援助の
 averse[形],嫌って、反対して
 avert[動],防ぐ、避ける、（目などを）そむける
 avid[形],熱心な、熱烈な
 axis[名],軸、軸線
 backlash[名],反動、反発、反感
 backlog[名],未処理の仕事、在庫
 baffle[動],困惑させる
 bail[名],保釈、保釈金
 balance[名],（銀行の）残高
balk at ～,～をためらう
 ballot[名],票、投票、投票用紙
 banal[形],ありふれた、陳腐な
 banish[動],追放する、追い払う
 bankruptcy[名],破産、倒産
 barrage[名],集中砲火
 barren[形],（土地が）不毛の、(動物が)不妊の
bear/take the brunt of ～,~の矢面に立つ
 beckon[動],手招きする、合図する、招き寄せる
 bedraggled[形],みすぼらしい、ぐしょぐしょに濡れた/汚れた
 belittle[動],見くびる、軽視する
 bellicose[形],好戦的な、けんか腰の
 belligerent[形],好戦的な、交戦中の
 bellow[動],怒鳴る、大声で鳴く
 benchmark[名],尺度、基準、水準点
 benediction[名],祝福、感謝の祈り
 beneficiary[名],（保険、年金など）受取人、恩恵を受ける人
benevolently[副],情け深く、慈悲深く
 benign[形],（腫瘍などが）良性の
 benign[形],優しい、温和な
 bent[名],素質、才能、性向
 bent[形],曲がっている、湾曲した、ねじれた
 berate[動],叱る、咎める
bereave ～ of …,～から… を奪う
 bereaved[形],死別された、先立たれた
 berserk[形],荒れ狂った、狂暴な
 besiege[動],包囲する、包囲攻撃する
 bestow[動],与える、授ける
 bewitched[形],魅了された、とりこになった
 bias[名],偏見、先入観
 bicker[動],（ささいなことで）口論する
 bigot[名],偏狭な人、頑固者、排他的な人
 billow[動],大きく波うつ、（帆などが）膨らむ
 bionic[形],生体工学の、超人的な
 bizarre[形],風変りな、異様な
 bland[形],薄味の、穏やかな、温和な、面白みのない
 blatantly[副],あからさまに、露骨に
 bleak[形],暗い、希望のない、寒々しい、荒れはてた
 blink[動],まばたきする
 blissful[形],至福の
 bluff[動],はったりをかける、だます
 blunder[名],大失敗
 bluntly[副],ぶっきらぼうに、無遠慮に、単刀直入に
 blur[動],ぼやかす、ぼかす
 blurt[動],うっかり口にする
 bogus[形],にせの、いんちきの
 bolster[動],元気付ける、高める、強化する
 bombard[動],攻め立てる、を砲撃する、(質問などを)浴びせる
 boon[名],恩恵、恵み
 bountiful[形],豊富な、物惜しみしない
 bounty[名],（自然の）恵み、報奨金
 bout[名],（病気、不快の）一時的な期間、発作
 brag[動],自慢する
 brandish[動],見せびらかす、誇示する、（威嚇のために）振りかざす
 brash[形],不作法な、厚かましい、生意気な
 brazen[形],ずうずうしい、厚かましい
 breach[動],（壁などを）破壊する、（規則などを）破る
 breakthrough[名],飛躍的進歩、躍進
 brevity[名],（表現などの）簡潔さ、短さ
 bridle[動],（怒りを表すために）つんとする
 brink[名],縁、際、間際
 broach[動],（話題などを）を切り出す
 bucolic[形],田舎の
 buffer[名],緩衝物
 bulge[動],膨れる、膨らむ
 bungle[動],しくじる、へまをする
 bungling[形],手際の悪い、へまな
 bunker[名],（ゴルフの）バンカー、燃料置場、掩蔽壕（えんぺいごう）（※地下にある兵士の避難所）
 buoyant[形],浮揚性の、浮力がある
 burgeon[動],急増する、急成長する
 burnished[形],磨き上げられた、つやのある
 cagey[形],話したがらない
 cajole[動],言いくるめる、おだてて丸め込む
 calamity[名],災難、災害
 caliber[名],器量、力量、銃の口径
 calibration[名],較正、キャリブレーション
 camaraderie[名],友愛、仲間意識
 candid[形],包み隠しのない、率直な、公平な
 candor[名],素直さ、誠実さ、公平
 canvass[動],（支持など）を求める、遊説する
 capricious[形],気まぐれな、移り気な
 captivation[名],魅力、魅惑
 captive[形],捕らわれた、捕獲された
 cardinal[形],主要な、基本的な
 cardiovascular[形],心臓血管の
 caricature[名],風刺画、風刺文
 carnivorous[形],肉食性の
 carve[動],彫る、刻む
 catalyst[名],触媒
 catastrophe[名],破滅的状況、大惨事、大災害
 catastrophically[形],壊滅的に、恐ろしいまでに
 caustic[形],手厳しい、辛辣な
 cavalier[形],思慮に欠ける、軽率な、無頓着な
 cavernous[形],洞窟のような
 cease[動],中止する、終わる
 celibate[形],独身主義の、禁欲主義の
 censure[名],非難、不信任
 cerebral[形],知性の、脳の
 certitude[名],確信、確実性
 chafe[動],いら立つ
 chant[動],詠唱する
 chaotic[形],混沌とした、無秩序な
 charade[名],謎解き、言葉当て遊び、見せかけ、見え透いたごまかし
 cherish[動],心に抱く、大事にする
 chisel[動],のみで彫る
 chore[名],雑用
 chronic[形],慢性の、慢性的な
 chronicle[動],年代記に記録する
 chronicle[名],年代記、記録
 chuckle[動],くすくす笑う
 chunky[形],分厚い、重厚な、塊の
 churn[動],攪拌する
 cinch[名],簡単なこと
 cipher[名],暗号、暗号文書
 circulate[動],広まる、配布される、循環する
 circumlocution[名],回りくどい表現、遠回しな言い方
 circumvent[動],回避する
claim[動],要求する、言い張る、主張する
 clairvoyant[形],千里眼の、透視力を持つ
 clarify[動],明らかにする
 classified[形],機密扱いの
 clemency[名],寛大さ、慈悲
 clique[名],小集団、派閥
 clobber[動],ひどく負かす、酷評する
 clump[動],群れをなす、重い足取りで歩く
 clumsy[形],下手な、不器用な、ぎこちない
 cluster[名],集団、束
 clutter[動],散らかす
 coalition[名],有志連合、（政党などの）連立
 coarse[形],きめの粗い、ざらざらした、粗野な
 coerce[動],強要する
 cogitate[動],熟考する
 cognition[名],認識、認知
 cognitive[形],認知の、認知に関する
 coherent[形],首尾一貫した、理路整然とした
 cohesive[形],結合力のある、粘着する
 coin[動],造語する、鋳造する
 coincidence[名],（偶然の）一致、同時発生
