(be) subject to ～,～を受けやすい、～に陥りやすい
 abandon[動],断念する、捨てる、見捨てる
 abolish[動],廃止する、なくす
 abortion[名],妊娠中絶
 abound[動],たくさんある（いる）、あふれている
 abridged[形],要約された、短縮された
 abruptly[副],不意に、突然
 absorb[動],吸収する
abstain from ～,～を慎む、控える
 abstract[動],〜を取り除く、取り去る
 abstract[形],抽象的な
 absurd[形],ばかげた、道理に合わない
 abundant[形],豊富な、十分な
 abuse[動],乱用する、虐待する
 accelerate[動],加速させる、促進する
 acceptance[名],承諾、引き受け、容認
 access[名],接近（方法）、入手/利用する機会
 accidentally[副],誤って、偶然に
 accommodate[動],（ホテル/施設が）～を収容する、収容能力がある
 accompany[動],付き添う、同行する、添付する
accord with ～,～に一致する、～と調和する
 accord[動],（許可などを）与える
 accord[名],一致
 accreditation[名],認可、公認、認定
 accumulate[動],蓄積する、積み上げる
 accusation[名],告発
 acid[名],酸
 acid[形],酸性の
 acknowledge[動],認める、認識する
 acoustic[形],聴覚の、音響（学）の
acquaint ～ with …,～に…を知らせる
 acquire[動],習得する、獲得する、手に入れる
acquit ～ of …,～を…について無罪とする、～を…の義務から解放する
 activate[動],活性化する、作動させる
 activist[名],（政治的な）活動家、運動家
 acute[形],（痛みが）鋭い、急性の、(事態が）深刻な、重大な
adapt to ～,～に適応する、適応させる
 adapt[動],適応する、適応させる
 addiction[名],（薬物への）依存、中毒
 addictive[形],中毒性のある、習慣性のある
 additive[名],（食品などの）添加物
 address[動],～（問題など）に取り組む/対処する、～（問題など）を取り扱う
 adequate[形],十分な、適切な
 adhesive[形],粘着性のある
 adjacent[形],近くの、（～に）隣接した (to ～)
 adjoining[形],隣の
 adjust[動],調整する、順応する、適応する
 administer[動],管理する、運営する
 administration[名],管理、経営、政権
 admiration[名],賞賛、感嘆
 admission[名],入場（料）、入会（料金）、入学（許可）
 admittedly[副],誰もが認めるように、確かに、なるほど
 admonish[動],～に忠告する、～を諭す
 adolescent[名],若者、青年
 adolescent[形],青年期の、思春期の
 adopt[動],採用する、導入する
 adorable[形],愛らしい、魅力的な
 advanced[形],進んだ、進歩した、上級の
 adverse[形],有害な、不利な、敵対する、逆方向の
 advocate[動],提唱する、支持する、推奨する、弁護する
 advocate[名],提唱者、支持者、弁護人
 affiliate[動],提携する、提携させる
 affirmation[名],肯定、断言、確約
 afflicted[形],苦しんでいる、苦しめられた
 affluent[形],裕福な、豊富な
 agenda[名],議事、議題、議事日程
 aggravate[動],悪化させる、悩ませる
 aggressive[形],攻撃的な、押しの強い
 agitate[動],扇動する、動揺させる
 agricultural[形],農業の
 alert[動],注意を喚起する、警告する
 alert[形],警戒して、油断のない、注意を怠らない
 alien[形],外国（人）の、異質の
 alienate[動],遠ざける、無視する、疎外する
 alimony[名],扶養料、別居/離婚手当
 allege[動],主張する、断言する、申し立てる
 alleviate[動],（苦痛などを）軽減する、和らげる
 alliance[名],同盟、提携
 allocate[動],割り当てる、配分する
 allowance[名],こづかい、手当
 alongside[前],〜と一緒に、同時に、と並行して
 alter[動],変える、変更する
 alteration[名],変更、修正
 alternate[動],交互に行う、交互に入れ替える
 alternate[形],代替の、交互の
 alternative[名],代替物、代替手段、代案
 alternative[形],代わりの、代替の、二者択一の
 altitude[名],高度、標高
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる
 amend[動],（法律などを）修正する
 amendment[名],改正、修正、修正条項
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 amicable[形],友好的な
 ammunition[名],弾丸、弾薬、論拠となる情報
 amnesty[名],恩赦
 amplify[動],増幅する、拡大する
 analogy[名],例え、類似点、類推
 analyze[動],分析する
 anatomy[名],（生物の）生体構造、解剖学的構造、組織
 ancestor[名],祖先、先祖
ancient[形],古代の、大昔の
 anecdote[名],逸話
 annotation[名],注釈
 annoyance[名],いらいら、頭痛の種
 annual[形],年次の、毎年の、年に1回の
 anonymity[名],匿名、匿名性
 anonymous[形],匿名の
 anthem[名],賛歌、祝歌
 anthropologist[名],人類学者
 antibiotic[名],抗生物質
 antiquity[名],古代、遺物、遺跡
 apparent[形],明らかな、明白な、はっきりした
 apparently[副],外見上、見たところでは、明らかに
 applaud[動],拍手喝采する、称賛する
 appliance[名],（家庭用の）器具、電化製品
 applicable[形],適用される
 applicant[名],応募者、志願者
 application[名],申し込み、応募、出願、申請
 appreciate[動],感謝する、～をありがたく思う
 apprehension[名],懸念、心配
 apprentice[名],見習い、実習生
 appropriate[形],適切な、ふさわしい
 approve[動],承認する、了承する
 approximately[副],およそ、約～
 aptitude[名],才能、適性
 aquatic[形],水生の、水中の
 arc[名],弧、円弧
 archaeologist[名],考古学者
 architect[名],建築家、建築士
 archive[動],（文書などを）アーカイブに保管する
 archive[名],公文書、記録、記録保管所
 Arctic[形],北極の
 argument[名],議論、口論、主張
 arid[形],乾燥した、不毛の、（話などが）つまらない
 arise[動],生じる、起こる
 aristocrat[名],貴族
 arouse[動],喚起する、かき立てる
 array[名],配列、隊列
 arrogant[形],横柄な、無礼な、傲慢な
 articulate[形],(人が）明瞭に話す能力がある、はっきりと発音された、(意味などが）はっきりと伝わる
 artifact[名],人工物、工芸品、加工品、人工遺物
 artificial[形],人工の、人工的な
 ascent[名],昇ること、上昇、昇進
 aspire[動],熱望する
 assault[動],暴行する、襲撃する
 assemble[動],組み立てる、集める
 assess[動],評価する、査定する
